Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),
0,374.5,1570.4658,4.1935,0.000314093
0.0002,323.5,1356.5973,4.1935,0.000271319
0.0004,336.5,1410.7762,4.1925,0.000282155
0.0006,343.5,1440.4673,4.1935,0.000288093
0.0008,341,1429.9835,4.1935,0.000285997
0.001,324.5,1360.7908,4.1935,0.000272158
0.0012,332.5,1394.3387,4.1935,0.000278868
0.0014,340.5,1427.5463,4.1925,0.000285509
0.0016,340.5,1427.5463,4.1925,0.000285509
0.0018,331.5,1390.1453,4.1935,0.000278029
0.002,317,1329.4979,4.194,0.0002659
0.0022,301.5,1264.3402,4.1935,0.000252868
0.0024,300,1258.05,4.1935,0.00025161
0.0026,300.5,1260.1467,4.1935,0.000252029
0.0028,319,1337.7266,4.1935,0.000267545
0.003,346,1450.951,4.1935,0.00029019
0.0032,370,1551.595,4.1935,0.000310319
0.0034,335,1404.4875,4.1925,0.000280898
0.0036,323,1354.5005,4.1935,0.0002709
0.0038,342.5,1436.2738,4.1935,0.000287255
0.004,345.5,1448.8542,4.1935,0.000289771
0.0042,348.5,1461.4348,4.1935,0.000292287
0.0044,323.5,1356.2738,4.1925,0.000271255
0.0046,346.5,1453.0477,4.1935,0.00029061
0.0048,348.5,1461.4348,4.1935,0.000292287
0.005,353.5,1482.4022,4.1935,0.00029648
0.0052,338,1417.0651,4.1925,0.000283413
0.0054,344.5,1444.6608,4.1935,0.000288932
0.0056,355.5,1490.7893,4.1935,0.000298158
0.0058,359.5,1507.2037,4.1925,0.000301441
0.006,380,1593.53,4.1935,0.000318706
0.0062,412.5,1729.4062,4.1925,0.000345881
0.0064,414,1736.3159,4.194,0.000347263
0.0066,359,1505.4666,4.1935,0.000301093
0.0068,337,1413.2095,4.1935,0.000282642
0.007,339,1421.5966,4.1935,0.000284319
0.0072,359,1505.4666,4.1935,0.000301093
0.0074,356.5,1494.9828,4.1935,0.000298997
0.0076,336,1409.016,4.1935,0.000281803
0.0078,328,1375.14,4.1925,0.000275028
0.008,344.5,1444.6608,4.1935,0.000288932
0.0082,345,1446.7576,4.1935,0.000289351
0.0084,333.5,1398.5322,4.1935,0.000279706
0.0086,324,1358.694,4.1935,0.000271739
0.0088,342,1434.177,4.1935,0.000286835
0.009,360.5,1511.3962,4.1925,0.000302279
0.0092,434,1819.979,4.1935,0.000363996
0.0094,460,1928.55,4.1925,0.00038571
0.0096,515,2159.1375,4.1925,0.000431828
0.0098,529.5,2220.7229,4.194,0.000444145
0.01,462,1938.0901,4.195,0.000387618
0.0102,329,1379.6615,4.1935,0.000275932
0.0104,349,1463.5315,4.1935,0.000292706
0.0106,362.5,1520.1438,4.1935,0.000304029
0.0108,363,1522.2405,4.1935,0.000304448
0.011,345,1446.7576,4.1935,0.000289352
0.0112,361,1513.8535,4.1935,0.000302771
0.0114,367,1539.0145,4.1935,0.000307803
0.0116,365,1530.6276,4.1935,0.000306126
0.0118,344,1442.564,4.1935,0.000288513
0.012,358,1500.915,4.1925,0.000300183
0.0122,368.5,1545.3048,4.1935,0.000309061
0.0124,366.5,1536.9177,4.1935,0.000307384
0.0126,352.5,1477.8563,4.1925,0.000295571
0.0128,364.5,1528.1663,4.1925,0.000305633
0.013,373.5,1565.8988,4.1925,0.00031318
0.0132,369.5,1549.4983,4.1935,0.0003099
0.0134,353.5,1482.5789,4.194,0.000296516
0.0136,356.5,1494.9828,4.1935,0.000298997
0.0138,367,1539.0145,4.1935,0.000307803
0.014,364.5,1528.5308,4.1935,0.000305706
0.0142,352.5,1478.2087,4.1935,0.000295642
0.0144,355,1488.6925,4.1935,0.000297739
0.0146,370,1551.595,4.1935,0.000310319
0.0148,371,1555.7886,4.1935,0.000311158
0.015,360.5,1511.7567,4.1935,0.000302351
0.0152,352.5,1478.2087,4.1935,0.000295642
0.0154,369,1547.4015,4.1935,0.00030948
0.0156,371,1555.7886,4.1935,0.000311158
0.0158,357,1497.2579,4.194,0.000299452
0.016,323,1354.5005,4.1935,0.0002709
0.0162,341,1429.9835,4.1935,0.000285997
0.0164,342,1434.177,4.1935,0.000286835
0.0166,337,1413.2095,4.1935,0.000282642
0.0168,320.5,1344.0167,4.1935,0.000268803
0.017,341,1429.9835,4.1935,0.000285997
0.0172,341,1429.9835,4.1935,0.000285997
0.0174,337.5,1415.3063,4.1935,0.000283061
0.0176,319,1337.4076,4.1925,0.000267481
0.0178,335,1404.8225,4.1935,0.000280964
0.018,342,1434.177,4.1935,0.000286835
0.0182,336,1408.6801,4.1925,0.000281736
0.0184,341.5,1432.0803,4.1935,0.000286416
0.0186,324.5,1360.7908,4.1935,0.000272158
0.0188,318,1333.533,4.1935,0.000266707
0.019,334,1400.295,4.1925,0.000280059
0.0192,409,1714.7325,4.1925,0.000342947
0.0194,455,1908.0425,4.1935,0.000381608
0.0196,512,2146.5601,4.1925,0.000429312
0.0198,521,2184.8135,4.1935,0.000436963
0.02,455,1908.0425,4.1935,0.000381608
0.0202,438,1835.8771,4.1915,0.000367175
0.0204,463.5,1943.9189,4.194,0.000388784
0.0206,381.5,1599.8203,4.1935,0.000319964
0.0208,368.5,1545.3048,4.1935,0.000309061
0.021,367,1538.6476,4.1925,0.000307729
0.0212,462,1936.9351,4.1925,0.000387387
0.0214,494.5,2073.6858,4.1935,0.000414737
0.0216,518,2172.4919,4.194,0.000434498
0.0218,470.5,1972.5713,4.1925,0.000394514
0.022,474,1987.245,4.1925,0.000397449
0.0222,488,2046.428,4.1935,0.000409286
0.0224,483,2025.4606,4.1935,0.000405092
0.0226,452,1895.462,4.1935,0.000379092
0.0228,392,1643.8521,4.1935,0.00032877
0.023,376.5,1578.8528,4.1935,0.000315771
0.0232,379,1589.3365,4.1935,0.000317867
0.0234,356.5,1494.9828,4.1935,0.000298997
0.0236,379,1589.5259,4.194,0.000317905
0.0238,373,1564.1755,4.1935,0.000312835
0.024,373.5,1566.2722,4.1935,0.000313254
0.0242,353.5,1482.4022,4.1935,0.00029648
0.0244,342,1434.177,4.1935,0.000286835
0.0246,348,1459.512,4.194,0.000291902
0.0248,349,1463.7059,4.194,0.000292741
0.025,331,1388.0485,4.1935,0.00027761
0.0252,332.5,1394.3387,4.1935,0.000278868
0.0254,350,1467.375,4.1925,0.000293475
0.0256,388,1627.078,4.1935,0.000325416
0.0258,383,1605.7275,4.1925,0.000321145
0.026,419.5,1759.1732,4.1935,0.000351835
0.0262,360,1510.2001,4.195,0.00030204
0.0264,276.5,1159.641,4.194,0.000231928
0.0266,265,1111.2775,4.1935,0.000222256
0.0268,261,1094.5035,4.1935,0.000218901
0.027,296.5,1243.3728,4.1935,0.000248675
0.0272,263,1102.6276,4.1925,0.000220526
0.0274,268.5,1126.089,4.194,0.000225218
0.0276,270,1132.245,4.1935,0.000226449
0.0278,291.5,1222.1138,4.1925,0.000244423
0.028,345.5,1448.8542,4.1935,0.000289771
0.0282,367,1538.6476,4.1925,0.00030773
0.0284,350.5,1469.8218,4.1935,0.000293964
0.0286,376,1576.756,4.1935,0.000315351
0.0288,378.5,1587.2397,4.1935,0.000317448
0.029,367.5,1541.1112,4.1935,0.000308222
0.0292,391,1639.2676,4.1925,0.000327853
0.0294,455,1908.0425,4.1935,0.000381609
0.0296,482,2020.785,4.1925,0.000404157
0.0298,487,2042.9651,4.195,0.000408593
0.03,452.5,1897.1063,4.1925,0.000379421
0.0302,490,2056.04,4.196,0.000411208
0.0304,332,1392.2421,4.1935,0.000278448
0.0306,302.5,1268.6849,4.194,0.000253737
0.0308,280.5,1176.2767,4.1935,0.000235255
0.031,297,1245.4695,4.1935,0.000249094
0.0312,312,1308.3721,4.1935,0.000261674
0.0314,326,1367.0811,4.1935,0.000273416
0.0316,313,1312.7219,4.194,0.000262544
0.0318,312,1308.3721,4.1935,0.000261674
0.032,314,1316.759,4.1935,0.000263352
0.0322,316,1325.146,4.1935,0.000265029
0.0324,294,1232.5951,4.1925,0.000246519
0.0326,279.5,1172.0833,4.1935,0.000234417
0.0328,307,1286.7905,4.1915,0.000257358
0.033,372,1559.61,4.1925,0.000311922
0.0332,379,1590.2841,4.196,0.000318057
0.0334,302,1265.833,4.1915,0.000253167
0.0336,340,1425.79,4.1935,0.000285158
0.0338,346,1451.1239,4.194,0.000290225
0.034,341,1429.9835,4.1935,0.000285997
0.0342,335.5,1406.5837,4.1925,0.000281317
0.0344,418.5,1754.5613,4.1925,0.000350912
0.0346,449.5,1884.9783,4.1935,0.000376996
0.0348,452.5,1898.2375,4.195,0.000379648
0.035,369.5,1549.4983,4.1935,0.0003099
0.0352,343.5,1440.4673,4.1935,0.000288093
0.0354,344,1442.564,4.1935,0.000288513
0.0356,344.5,1444.6608,4.1935,0.000288932
0.0358,356.5,1494.9828,4.1935,0.000298997
0.036,404.5,1696.2708,4.1935,0.000339254
0.0362,399.5,1675.3032,4.1935,0.000335061
0.0364,406.5,1704.6577,4.1935,0.000340932
0.0366,394,1652.239,4.1935,0.000330448
0.0368,397.5,1666.5188,4.1925,0.000333304
0.037,398.5,1670.7113,4.1925,0.000334142
0.0372,399.5,1675.3032,4.1935,0.000335061
0.0374,383,1605.7275,4.1925,0.000321145
0.0376,392,1643.8521,4.1935,0.00032877
0.0378,413,1731.9155,4.1935,0.000346383
0.038,410,1718.925,4.1925,0.000343785
0.0382,394,1652.239,4.1935,0.000330448
0.0384,389,1631.2715,4.1935,0.000326254
0.0386,406,1702.561,4.1935,0.000340512
0.0388,406,1702.561,4.1935,0.000340512
0.039,416,1744.0801,4.1925,0.000348816
0.0392,464.5,1947.4163,4.1925,0.000389483
0.0394,528,2213.6401,4.1925,0.000442728
0.0396,571,2394.4885,4.1935,0.000478898
0.0398,549,2302.2314,4.1935,0.000460446
0.04,492.5,2064.8064,4.1925,0.000412961
0.0402,499,2092.0576,4.1925,0.000418411
0.0404,584,2448.4202,4.1925,0.000489684
0.0406,588,2465.1902,4.1925,0.000493038
0.0408,566,2372.9551,4.1925,0.000474591
0.041,549.5,2304.3284,4.1935,0.000460866
0.0412,528.5,2216.2649,4.1935,0.000443253
0.0414,496,2079.9761,4.1935,0.000415995
0.0416,408,1710.54,4.1925,0.000342108
0.0418,409.5,1716.8289,4.1925,0.000343366
0.042,422.5,1771.7538,4.1935,0.000354351
0.0422,417.5,1750.7863,4.1935,0.000350157
0.0424,403.5,1692.0773,4.1935,0.000338415
0.0426,412,1727.9279,4.194,0.000345586
0.0428,388.5,1629.1748,4.1935,0.000325835
0.043,372,1559.9821,4.1935,0.000311996
0.0432,374,1568.369,4.1935,0.000313674
0.0434,345.5,1448.8542,4.1935,0.000289771
0.0436,359.5,1507.5632,4.1935,0.000301513
0.0438,365.5,1532.7242,4.1935,0.000306545
0.044,350,1467.725,4.1935,0.000293545
0.0442,351.5,1474.0153,4.1935,0.000294803
0.0444,372,1559.9821,4.1935,0.000311996
0.0446,368,1542.8401,4.1925,0.000308568
0.0448,364.5,1528.5308,4.1935,0.000305706
0.045,348.5,1461.6089,4.194,0.000292322
0.0452,245,1027.4075,4.1935,0.000205482
0.0454,238.5,1000.1498,4.1935,0.00020003
0.0456,231,968.6985,4.1935,0.00019374
0.0458,223.5,937.2473,4.1935,0.000187449
0.046,240.5,1008.0558,4.1915,0.000201611
0.0462,299.5,1255.9532,4.1935,0.000251191
0.0464,286.5,1201.5809,4.194,0.000240316
