Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),
0,114.5,480.213,4.194,9.60426E-05
0.0002,113.5,476.1325,4.195,9.52265E-05
0.0004,116,486.33,4.1925,0.000097266
0.0006,153,641.6055,4.1935,0.000128321
0.0008,160.5,673.0568,4.1935,0.000134611
0.001,158.5,664.9075,4.195,0.000132982
0.0012,140.5,589.257,4.194,0.000117851
0.0014,147,616.4445,4.1935,0.000123289
0.0016,158,662.573,4.1935,0.000132515
0.0018,161,675.395,4.195,0.000135079
0.002,145.5,610.3725,4.195,0.000122075
0.0022,146,612.324,4.194,0.000122465
0.0024,158.5,664.749,4.194,0.00013295
0.0026,158,662.573,4.1935,0.000132515
0.0028,146.5,614.421,4.194,0.000122884
0.003,140,587.3,4.195,0.00011746
0.0032,159.5,668.943,4.194,0.000133789
0.0034,155.5,652.167,4.194,0.000130433
0.0036,151,633.445,4.195,0.000126689
0.0038,138,578.703,4.1935,0.000115741
0.004,157,658.3795,4.1935,0.000131676
0.0042,157,658.3795,4.1935,0.000131676
0.0044,152,637.488,4.194,0.000127498
0.0046,136,570.316,4.1935,0.000114063
0.0048,156.5,656.2828,4.1935,0.000131257
0.005,157,658.3795,4.1935,0.000131676
0.0052,154.5,648.1275,4.195,0.000129626
0.0054,135.5,568.2192,4.1935,0.000113644
0.0056,155,650.0699,4.194,0.000130014
0.0058,157.5,660.7125,4.195,0.000132143
0.006,155.5,652.3225,4.195,0.000130465
0.0062,136.5,572.4128,4.1935,0.000114483
0.0064,152,637.64,4.195,0.000127528
0.0066,157.5,660.555,4.194,0.000132111
0.0068,156,654.264,4.194,0.000130853
0.007,137.5,576.4688,4.1925,0.000115294
0.0072,150,629.1,4.194,0.00012582
0.0074,157,658.3795,4.1935,0.000131676
0.0076,157.5,660.555,4.194,0.000132111
0.0078,140,587.16,4.194,0.000117432
0.008,148.5,622.7347,4.1935,0.000124547
0.0082,176.5,740.1528,4.1935,0.000148031
0.0084,179.5,752.8229,4.194,0.000150565
0.0086,165.5,694.0242,4.1935,0.000138805
0.0088,166,696.121,4.1935,0.000139224
0.009,178,746.532,4.194,0.000149306
0.0092,180.5,756.9268,4.1935,0.000151385
0.0094,167,700.3145,4.1935,0.000140063
0.0096,163,683.5405,4.1935,0.000136708
0.0098,181.5,761.2109,4.194,0.000152242
0.01,183.5,769.5073,4.1935,0.000153901
0.0102,174.5,731.7657,4.1935,0.000146353
0.0104,168.5,706.6047,4.1935,0.000141321
0.0106,188.5,790.7575,4.195,0.000158152
0.0108,183.5,769.5073,4.1935,0.000153901
0.011,178,746.532,4.194,0.000149306
0.0112,161,675.1535,4.1935,0.000135031
0.0114,181,759.0235,4.1935,0.000151805
0.0116,185,775.7975,4.1935,0.00015516
0.0118,182.5,765.3138,4.1935,0.000153063
0.012,164.5,689.8307,4.1935,0.000137966
0.0122,183.5,769.5989,4.194,0.00015392
0.0124,186.5,782.0878,4.1935,0.000156418
0.0126,185,775.89,4.194,0.000155178
0.0128,164.5,689.8307,4.1935,0.000137966
0.013,199.5,836.6033,4.1935,0.000167321
0.0132,204,855.5759,4.194,0.000171115
0.0134,190.5,798.8618,4.1935,0.000159772
0.0136,175.5,735.7838,4.1925,0.000147157
0.0138,189.5,794.6683,4.1935,0.000158934
0.014,197,826.1195,4.1935,0.000165224
0.0142,198,830.4119,4.194,0.000166082
0.0144,178,746.443,4.1935,0.000149289
0.0146,185.5,777.8943,4.1935,0.000155579
0.0148,195,817.7325,4.1935,0.000163546
0.015,192.5,807.5375,4.195,0.000161508
0.0152,174.5,731.853,4.194,0.000146371
0.0154,170.5,714.9918,4.1935,0.000142998
0.0156,184.5,773.793,4.194,0.000154759
0.0158,182,763.217,4.1935,0.000152643
0.016,177,742.338,4.194,0.000148468
0.0162,159.5,668.943,4.194,0.000133789
0.0164,145.5,610.3725,4.195,0.000122074
0.0166,140.5,589.1868,4.1935,0.000117837
0.0168,143.5,601.7673,4.1935,0.000120353
0.017,166.5,698.2178,4.1935,0.000139644
0.0172,198,830.313,4.1935,0.000166063
0.0174,201,843.195,4.195,0.000168639
0.0176,195,817.83,4.194,0.000163566
0.0178,173.5,727.5723,4.1935,0.000145514
0.018,190,796.86,4.194,0.000159372
0.0182,191,800.7675,4.1925,0.000160153
0.0184,198.5,832.509,4.194,0.000166502
0.0186,181,759.0235,4.1935,0.000151805
0.0188,197.5,828.2162,4.1935,0.000165643
0.019,203.5,853.3773,4.1935,0.000170675
0.0192,206.5,865.9578,4.1935,0.000173192
0.0194,203.5,853.3773,4.1935,0.000170675
0.0196,212,889.022,4.1935,0.000177804
0.0198,227.5,954.1349,4.194,0.000190827
0.02,238,998.1719,4.194,0.000199634
0.0202,217.5,912.0862,4.1935,0.000182417
0.0204,204,855.474,4.1935,0.000171095
0.0206,213,893.322,4.194,0.000178664
0.0208,202.5,849.285,4.194,0.000169857
0.021,193,809.442,4.194,0.000161888
0.0212,188.5,790.4747,4.1935,0.000158095
0.0214,198.5,832.4097,4.1935,0.000166482
0.0216,219,918.3765,4.1935,0.000183675
0.0218,216.5,908.2175,4.195,0.000181643
0.022,202.5,849.285,4.194,0.000169857
0.0222,196.5,823.8263,4.1925,0.000164765
0.0224,197.5,828.2162,4.1935,0.000165643
0.0226,190,796.86,4.194,0.000159372
0.0228,170.5,714.9918,4.1935,0.000142998
0.023,190.5,798.8618,4.1935,0.000159772
