Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),
0,131.5,551.4453,4.1935,0.000110289
0.0002,147.5,618.5413,4.1935,0.000123708
0.0004,146,612.47,4.195,0.000122494
0.0006,122,511.607,4.1935,0.000102321
0.0008,139,582.9659,4.194,0.000116593
0.001,150,629.025,4.1935,0.000125805
0.0012,150,629.25,4.195,0.00012585
0.0014,124.5,522.0908,4.1935,0.000104418
0.0016,139,582.9659,4.194,0.000116593
0.0018,149,624.8315,4.1935,0.000124966
0.002,148.5,622.809,4.194,0.000124562
0.0022,133,557.7355,4.1935,0.000111547
0.0024,142,595.477,4.1935,0.000119095
0.0026,154.5,647.8958,4.1935,0.000129579
0.0028,149.5,626.9283,4.1935,0.000125386
0.003,134,561.929,4.1935,0.000112386
0.0032,136,570.316,4.1935,0.000114063
0.0034,145.5,610.1542,4.1935,0.000122031
0.0036,153,641.6055,4.1935,0.000128321
0.0038,139,582.8965,4.1935,0.000116579
0.004,132.5,555.6387,4.1935,0.000111128
0.0042,152.5,639.5087,4.1935,0.000127902
0.0044,152.5,639.5087,4.1935,0.000127902
0.0046,143.5,601.839,4.194,0.000120368
0.0048,130.5,547.2518,4.1935,0.00010945
0.005,150,629.25,4.195,0.00012585
0.0052,130,545.22,4.194,0.000109044
0.0054,117,490.815,4.195,9.82E-05
0.0056,99,415.1565,4.1935,8.30E-05
0.0058,121,507.4135,4.1935,0.000101483
0.006,123.5,517.8973,4.1935,0.000103579
0.0062,119,499.086,4.194,9.98E-05
0.0064,98.5,413.0598,4.1935,8.26E-05
0.0066,120.5,505.377,4.194,0.000101075
0.0068,123,515.8005,4.1935,0.00010316
0.007,121.5,509.6925,4.195,0.000101939
0.0072,99,415.1565,4.1935,8.30E-05
0.0074,117.5,492.795,4.194,9.86E-05
0.0076,124,520.056,4.194,0.000104011
0.0078,123,515.862,4.194,0.000103172
0.008,109.5,459.243,4.194,9.18E-05
0.0082,92.5,388.0375,4.195,7.76E-05
0.0084,78.5,329.1898,4.1935,6.58E-05
0.0086,100,419.6,4.196,8.39E-05
0.0088,99.5,417.2533,4.1935,8.35E-05
0.009,113.5,475.8488,4.1925,9.52E-05
0.0092,149.5,627.1525,4.195,0.000125431
0.0094,140,587.16,4.194,0.000117432
0.0096,129,541.155,4.195,0.000108231
0.0098,121,507.4135,4.1935,0.000101483
0.01,143.5,601.7673,4.1935,0.000120353
0.0102,153.5,643.779,4.194,0.000128756
0.0104,143.5,601.9825,4.195,0.000120397
0.0106,127.5,534.6713,4.1935,0.000106934
0.0108,149,624.9059,4.194,0.000124981
0.011,150,629.1,4.194,0.00012582
0.0112,148,620.712,4.194,0.000124142
0.0114,126.5,530.3513,4.1925,0.00010607
0.0116,151,633.2185,4.1935,0.000126644
0.0118,156.5,656.2828,4.1935,0.000131257
0.012,162.5,681.6875,4.195,0.000136338
0.0122,137.5,576.4688,4.1925,0.000115294
0.0124,181,759.114,4.194,0.000151823
0.0126,191,800.9585,4.1935,0.000160192
0.0128,192.5,807.345,4.194,0.000161469
0.013,172,721.282,4.1935,0.000144256
0.0132,184.5,773.7007,4.1935,0.00015474
0.0134,194,813.6359,4.194,0.000162727
0.0136,184,771.604,4.1935,0.000154321
0.0138,174,729.756,4.194,0.000145951
0.014,155.5,652.0892,4.1935,0.000130418
0.0142,166.5,698.2178,4.1935,0.000139644
0.0144,164.5,689.8307,4.1935,0.000137966
0.0146,146.5,614.3478,4.1935,0.00012287
0.0148,156,654.03,4.1925,0.000130806
0.015,192,805.2479,4.194,0.00016105
0.0152,195.5,819.8293,4.1935,0.000163966
0.0154,180.5,756.9268,4.1935,0.000151385
0.0156,173,725.735,4.195,0.000145147
0.0158,158.5,664.749,4.194,0.00013295
0.016,150.5,631.1218,4.1935,0.000126224
0.0162,142,595.548,4.194,0.00011911
0.0164,127.5,534.6713,4.1935,0.000106934
0.0166,165,691.9275,4.1935,0.000138385
0.0168,174.5,731.7657,4.1935,0.000146353
0.017,169,708.7015,4.1935,0.00014174
0.0172,148.5,622.7347,4.1935,0.000124547
0.0174,170.5,714.9918,4.1935,0.000142998
0.0176,178.5,748.5397,4.1935,0.000149708
0.0178,169.5,711.0526,4.195,0.00014221
0.018,140.5,589.0463,4.1925,0.000117809
0.0182,158.5,664.6697,4.1935,0.000132934
0.0184,150.5,631.197,4.194,0.000126239
0.0186,145.5,610.227,4.194,0.000122045
0.0188,128.5,538.7363,4.1925,0.000107747
0.019,147.5,618.5413,4.1935,0.000123708
0.0192,152.5,639.5087,4.1935,0.000127902
0.0194,148.5,622.9575,4.195,0.000124591
0.0196,128,536.768,4.1935,0.000107354
0.0198,139.5,584.9933,4.1935,0.000116999
0.02,148,620.712,4.194,0.000124142
0.0202,152.5,639.7375,4.195,0.000127948
0.0204,133.5,559.899,4.194,0.00011198
0.0206,137.5,576.6063,4.1935,0.000115321
0.0208,152.5,639.5087,4.1935,0.000127902
0.021,153,641.6819,4.194,0.000128336
0.0212,140,587.16,4.194,0.000117432
0.0214,133,557.8019,4.194,0.00011156
0.0216,151,633.2185,4.1935,0.000126644
0.0218,150,629.025,4.1935,0.000125805
0.022,137.5,576.675,4.194,0.000115335
0.0222,106.5,446.6078,4.1935,8.93E-05
0.0224,122.5,513.7037,4.1935,0.000102741
0.0226,122.5,513.7037,4.1935,0.000102741
0.0228,115,482.31,4.194,9.65E-05
0.023,100.5,421.4467,4.1935,8.43E-05
0.0232,122,511.668,4.194,0.000102334
0.0234,122.5,513.765,4.194,0.000102753
0.0236,117.5,492.9125,4.195,9.86E-05
0.0238,99.5,417.2533,4.1935,8.35E-05
0.024,121.5,509.5103,4.1935,0.000101902
0.0242,124.5,522.0908,4.1935,0.000104418
0.0244,122,511.79,4.195,0.000102358
0.0246,100,419.4,4.194,8.39E-05
0.0248,89,373.355,4.195,7.47E-05
0.025,77.5,325.035,4.194,6.50E-05
0.0252,77.5,325.1125,4.195,6.50E-05
0.0254,77.5,324.8413,4.1915,6.50E-05
0.0256,113,473.8655,4.1935,9.48E-05
0.0258,127,532.5745,4.1935,0.000106515
0.026,123.5,518.0825,4.195,0.000103617
0.0262,108.5,455.049,4.194,9.10E-05
0.0264,106.5,446.661,4.194,8.93E-05
0.0266,124.5,522.153,4.194,0.000104431
0.0268,124.5,522.0908,4.1935,0.000104418
0.027,111,465.534,4.194,9.31E-05
0.0272,103,431.9305,4.1935,8.64E-05
0.0274,123,515.8005,4.1935,0.00010316
0.0276,123,515.862,4.194,0.000103172
0.0278,115,482.2525,4.1935,9.65E-05
0.028,100.5,421.4467,4.1935,8.43E-05
0.0282,124,520.056,4.194,0.000104011
0.0284,125,524.1875,4.1935,0.000104837
0.0286,120,503.4,4.195,0.00010068
0.0288,99,415.1565,4.1935,8.30E-05
0.029,122.5,513.765,4.194,0.000102753
0.0292,128.5,538.8647,4.1935,0.000107773
0.0294,125,524.375,4.195,0.000104875
0.0296,99,415.1565,4.1935,8.30E-05
0.0298,120.5,505.377,4.194,0.000101075
0.03,122,511.607,4.1935,0.000102321
