Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),
0,108.5,454.9948,4.1935,9.0999E-05
0.0002,125.5,526.2842,4.1935,0.000105257
0.0004,127.5,534.735,4.194,0.000106947
0.0006,121,507.595,4.195,0.000101519
0.0008,107,448.758,4.194,8.97516E-05
0.001,128.5,538.929,4.194,0.000107786
0.0012,126.5,530.541,4.194,0.000106108
0.0014,119.5,501.183,4.194,0.000100237
0.0016,105.5,442.4142,4.1935,8.84828E-05
0.0018,124,519.994,4.1935,0.000103999
0.002,126,528.381,4.1935,0.000105676
0.0022,126,528.444,4.194,0.000105689
0.0024,104,436.124,4.1935,8.72248E-05
0.0026,123.5,517.8973,4.1935,0.000103579
0.0028,126.5,530.541,4.194,0.000106108
0.003,124,520.18,4.195,0.000104036
0.0032,106.5,446.6078,4.1935,8.93215E-05
0.0034,118.5,496.9297,4.1935,9.9386E-05
0.0036,126,528.381,4.1935,0.000105676
0.0038,126.5,530.6675,4.195,0.000106134
0.004,105.5,442.4142,4.1935,8.84828E-05
0.0042,117.5,492.795,4.194,9.8559E-05
0.0044,126.5,530.4777,4.1935,0.000106096
0.0046,126,528.57,4.195,0.000105714
0.0048,108.5,455.049,4.194,9.10098E-05
0.005,115,482.2525,4.1935,9.64505E-05
0.0052,125.5,526.3469,4.194,0.000105269
0.0054,126,528.444,4.194,0.000105689
0.0056,112,469.672,4.1935,9.39344E-05
0.0058,111,465.534,4.194,9.31068E-05
0.006,125.5,526.2842,4.1935,0.000105257
0.0062,125,524.1875,4.1935,0.000104838
0.0064,115,482.31,4.194,9.6462E-05
0.0066,109,457.0915,4.1935,9.14183E-05
0.0068,141.5,593.451,4.194,0.00011869
0.007,148,620.49,4.1925,0.000124098
0.0072,139.5,585.063,4.194,0.000117013
0.0074,129,540.9615,4.1935,0.000108192
0.0076,146.5,614.421,4.194,0.000122884
0.0078,148,620.712,4.194,0.000124142
0.008,141,591.2835,4.1935,0.000118257
0.0082,127,532.5745,4.1935,0.000106515
0.0084,148.5,622.7347,4.1935,0.000124547
0.0086,152.5,639.585,4.194,0.000127917
0.0088,145.5,610.1542,4.1935,0.000122031
0.009,134.5,564.0258,4.1935,0.000112805
0.0092,156,654.42,4.195,0.000130884
0.0094,153,641.6819,4.194,0.000128336
0.0096,149.5,627.1525,4.195,0.000125431
0.0098,129.5,542.9288,4.1925,0.000108586
0.01,148,620.638,4.1935,0.000124128
0.0102,153,641.6819,4.194,0.000128336
0.0104,154.5,648.1275,4.195,0.000129626
0.0106,133.5,559.8323,4.1935,0.000111966
