Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),
0,277.5,1163.6963,4.1935,0.000232739
0.0002,272.5,1142.4563,4.1925,0.000228491
0.0004,260,1090.3101,4.1935,0.000218062
0.0006,227,951.9245,4.1935,0.000190385
0.0008,221.5,928.8602,4.1935,0.000185772
0.001,216,905.58,4.1925,0.000181116
0.0012,210,880.635,4.1935,0.000176127
0.0014,199,834.5065,4.1935,0.000166901
0.0016,187,784.1845,4.1935,0.000156837
0.0018,204,855.474,4.1935,0.000171095
0.002,235,985.4725,4.1935,0.000197095
0.0022,227.5,954.3625,4.195,0.000190873
0.0024,193.5,811.4423,4.1935,0.000162288
0.0026,202,847.087,4.1935,0.000169417
0.0028,203,851.2805,4.1935,0.000170256
0.003,202,847.1879,4.194,0.000169438
0.0032,186.5,782.0878,4.1935,0.000156418
0.0034,197,826.1195,4.1935,0.000165224
0.0036,202.5,848.9813,4.1925,0.000169796
0.0038,221.5,928.9709,4.194,0.000185794
0.004,203.5,853.3773,4.1935,0.000170675
0.0042,202,847.087,4.1935,0.000169417
0.0044,223,935.1505,4.1935,0.00018703
0.0046,248.5,1042.0847,4.1935,0.000208417
0.0048,221,926.5425,4.1925,0.000185309
0.005,245.5,1029.2588,4.1925,0.000205852
0.0052,253.5,1062.7988,4.1925,0.00021256
0.0054,256,1073.536,4.1935,0.000214707
0.0056,231,968.4675,4.1925,0.000193694
0.0058,239,1002.0075,4.1925,0.000200402
0.006,231,968.814,4.194,0.000193763
0.0062,235,985.4725,4.1935,0.000197095
0.0064,234.5,983.3757,4.1935,0.000196675
0.0066,231.5,970.5638,4.1925,0.000194113
0.0068,248.5,1041.8363,4.1925,0.000208367
0.007,253.5,1063.0524,4.1935,0.00021261
0.0072,236,989.666,4.1935,0.000197933
0.0074,233,976.8525,4.1925,0.000195371
0.0076,288,1207.4401,4.1925,0.000241488
0.0078,307,1287.4045,4.1935,0.000257481
0.008,343.5,1440.6389,4.194,0.000288128
0.0082,353,1480.3055,4.1935,0.000296061
0.0084,360.5,1511.9369,4.194,0.000302387
0.0086,341,1429.6426,4.1925,0.000285929
0.0088,381,1597.7235,4.1935,0.000319545
0.009,326,1366.4291,4.1915,0.000273286
0.0092,392,1643.4601,4.1925,0.000328692
0.0094,414.5,1737.7913,4.1925,0.000347558
0.0096,428.5,1796.9148,4.1935,0.000359383
0.0098,434.5,1822.7275,4.195,0.000364546
0.01,339,1421.2576,4.1925,0.000284252
0.0102,329,1379.6615,4.1935,0.000275932
0.0104,305.5,1281.1143,4.1935,0.000256223
0.0106,278,1165.793,4.1935,0.000233159
0.0108,287.5,1205.6312,4.1935,0.000241126
0.011,278,1165.515,4.1925,0.000233103
0.0112,289.5,1214.0183,4.1935,0.000242804
0.0114,254.5,1066.9913,4.1925,0.000213398
0.0116,266.5,1117.3013,4.1925,0.00022346
0.0118,289,1211.9215,4.1935,0.000242384
0.012,285.5,1197.2443,4.1935,0.000239449
0.0122,269.5,1130.1483,4.1935,0.00022603
0.0124,265,1111.2775,4.1935,0.000222256
0.0126,273,1144.9619,4.194,0.000228992
0.0128,248,1039.74,4.1925,0.000207948
0.013,260.5,1092.537,4.194,0.000218507
0.0132,233.5,978.9488,4.1925,0.00019579
0.0134,246.5,1033.6978,4.1935,0.00020674
0.0136,255,1069.3425,4.1935,0.000213869
0.0138,217,909.9895,4.1935,0.000181998
0.014,195.5,819.8293,4.1935,0.000163966
0.0142,222,930.957,4.1935,0.000186191
0.0144,224.5,941.4407,4.1935,0.000188288
0.0146,217,909.9895,4.1935,0.000181998
0.0148,205,859.4625,4.1925,0.000171892
0.015,236.5,991.7628,4.1935,0.000198353
0.0152,225.5,945.6343,4.1935,0.000189127
0.0154,230.5,966.6017,4.1935,0.00019332
0.0156,212,888.598,4.1915,0.00017772
0.0158,273,1144.8256,4.1935,0.000228965
0.016,296,1240.98,4.1925,0.000248196
0.0162,286.5,1201.5809,4.194,0.000240316
0.0164,210.5,882.5213,4.1925,0.000176504
0.0166,219.5,920.2538,4.1925,0.000184051
0.0168,224,939.12,4.1925,0.000187824
0.017,230.5,966.6017,4.1935,0.00019332
0.0172,210.5,882.7318,4.1935,0.000176546
0.0174,210,880.635,4.1935,0.000176127
0.0176,216,905.796,4.1935,0.000181159
0.0178,215,901.6025,4.1935,0.00018032
0.018,197,825.9225,4.1925,0.000165185
0.0182,242.5,1016.4388,4.1915,0.000203288
0.0184,299.5,1255.9532,4.1935,0.000251191
0.0186,259.5,1087.9537,4.1925,0.000217591
0.0188,224,939.344,4.1935,0.000187869
0.019,221.5,928.8602,4.1935,0.000185772
0.0192,257.5,1079.8263,4.1935,0.000215965
0.0194,272,1140.36,4.1925,0.000228072
0.0196,253,1061.0819,4.194,0.000212216
0.0198,182,763.217,4.1935,0.000152643
0.02,200,838.7,4.1935,0.00016774
0.0202,186,779.991,4.1935,0.000155998
0.0204,182,763.217,4.1935,0.000152643
0.0206,174,729.669,4.1935,0.000145934
