Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),
0,166,696.121,4.1935,0.000139224
0.0002,184,771.42,4.1925,0.000154284
0.0004,190,796.575,4.1925,0.000159315
0.0006,202,847.087,4.1935,0.000169417
0.0008,206,863.655,4.1925,0.000172731
0.001,225.5,945.6343,4.1935,0.000189127
0.0012,236,989.4301,4.1925,0.000197886
0.0014,228,956.118,4.1935,0.000191224
0.0016,228.5,957.9863,4.1925,0.000191597
0.0018,247.5,1037.8912,4.1935,0.000207578
0.002,236,989.666,4.1935,0.000197933
0.0022,223.5,937.2473,4.1935,0.000187449
0.0024,216,905.58,4.1925,0.000181116
0.0026,227.5,954.0212,4.1935,0.000190804
0.0028,209.5,878.3288,4.1925,0.000175666
0.003,202,847.087,4.1935,0.000169417
0.0032,198,830.1151,4.1925,0.000166023
0.0034,213.5,895.3123,4.1935,0.000179062
0.0036,213.5,895.3123,4.1935,0.000179062
0.0038,202,847.087,4.1935,0.000169417
0.004,186,779.805,4.1925,0.000155961
0.0042,208.5,874.3448,4.1935,0.000174869
0.0044,207.5,869.9438,4.1925,0.000173989
0.0046,194,813.539,4.1935,0.000162708
0.0048,158,662.257,4.1915,0.000132451
0.005,172.5,723.3788,4.1935,0.000144676
0.0052,169,708.5325,4.1925,0.000141707
0.0054,169.5,710.7983,4.1935,0.00014216
0.0056,154,645.645,4.1925,0.000129129
0.0058,164,687.57,4.1925,0.000137514
0.006,170,712.895,4.1935,0.000142579
0.0062,172,721.368,4.194,0.000144274
0.0064,148.5,622.5862,4.1925,0.000124517
0.0066,158.5,664.5113,4.1925,0.000132902
0.0068,171,717.0885,4.1935,0.000143418
0.007,165.5,694.0242,4.1935,0.000138805
0.0072,156.5,656.1263,4.1925,0.000131225
0.0074,147,616.4445,4.1935,0.000123289
0.0076,146,612.251,4.1935,0.00012245
0.0078,150.5,631.1218,4.1935,0.000126224
0.008,149,624.8315,4.1935,0.000124966
0.0082,165,691.7625,4.1925,0.000138352
0.0084,196.5,824.0228,4.1935,0.000164805
0.0086,192.5,807.0563,4.1925,0.000161411
0.0088,190.5,798.8618,4.1935,0.000159772
0.009,176,737.88,4.1925,0.000147576
0.0092,192,804.96,4.1925,0.000160992
0.0094,192.5,807.0563,4.1925,0.000161411
0.0096,199,834.5065,4.1935,0.000166901
0.0098,208,872.248,4.1935,0.00017445
0.01,186,779.805,4.1925,0.000155961
