Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),
0,115,482.2525,4.1935,9.64505E-05
0.0002,147.5,618.5413,4.1935,0.000123708
0.0004,149.5,626.9283,4.1935,0.000125386
0.0006,146.5,614.3478,4.1935,0.00012287
0.0008,125,524.0625,4.1925,0.000104813
0.001,143.5,601.7673,4.1935,0.000120353
0.0012,148,620.638,4.1935,0.000124128
0.0014,151.5,635.391,4.194,0.000127078
0.0016,127,532.4476,4.1925,0.00010649
0.0018,145,608.0575,4.1935,0.000121612
0.002,147.5,618.615,4.194,0.000123723
0.0022,147.5,618.5413,4.1935,0.000123708
0.0024,130,545.155,4.1935,0.000109031
0.0026,138,578.703,4.1935,0.000115741
0.0028,148,620.638,4.1935,0.000124128
0.003,149.5,627.003,4.194,0.000125401
0.0032,135,566.1225,4.1935,0.000113225
0.0034,132.5,555.6387,4.1935,0.000111128
0.0036,147.5,618.5413,4.1935,0.000123708
0.0038,148,620.712,4.194,0.000124142
0.004,134.5,564.0258,4.1935,0.000112805
0.0042,131,549.3485,4.1935,0.00010987
0.0044,147.5,618.5413,4.1935,0.000123708
0.0046,147,616.4445,4.1935,0.000123289
0.0048,138,578.772,4.194,0.000115754
0.005,128,536.768,4.1935,0.000107354
0.0052,147,616.4445,4.1935,0.000123289
0.0054,147.5,618.5413,4.1935,0.000123708
0.0056,148,620.638,4.1935,0.000124128
0.0058,156.5,656.1263,4.1925,0.000131225
0.006,177.5,744.1688,4.1925,0.000148834
0.0062,180.5,756.9268,4.1935,0.000151385
0.0064,178,746.443,4.1935,0.000149289
0.0066,160,670.8,4.1925,0.00013416
0.0068,180.5,756.9268,4.1935,0.000151385
0.007,182,763.217,4.1935,0.000152643
0.0072,178.5,748.5397,4.1935,0.000149708
0.0074,158,662.415,4.1925,0.000132483
0.0076,189,792.3825,4.1925,0.000158477
0.0078,186.5,782.0878,4.1935,0.000156418
0.008,168.5,706.689,4.194,0.000141338
0.0082,149,624.6825,4.1925,0.000124936
0.0084,163.5,685.6373,4.1935,0.000137127
0.0086,168.5,706.6047,4.1935,0.000141321
0.0088,169.5,710.8829,4.194,0.000142177
0.009,150.5,630.9713,4.1925,0.000126194
0.0092,159.5,668.8633,4.1935,0.000133773
0.0094,173.5,727.5723,4.1935,0.000145514
0.0096,172,721.282,4.1935,0.000144256
0.0098,159,666.7665,4.1935,0.000133353
0.01,165,691.9275,4.1935,0.000138386
0.0102,176.5,740.1528,4.1935,0.000148031
0.0104,174,729.756,4.194,0.000145951
0.0106,160,670.96,4.1935,0.000134192
0.0108,156.5,656.1263,4.1925,0.000131225
0.011,172,721.282,4.1935,0.000144256
0.0112,176,738.056,4.1935,0.000147611
0.0114,165.5,694.0242,4.1935,0.000138805
0.0116,158,662.573,4.1935,0.000132515
0.0118,175.5,735.9592,4.1935,0.000147192
0.012,176,738.056,4.1935,0.000147611
0.0122,168.5,706.6047,4.1935,0.000141321
0.0124,158.5,664.6697,4.1935,0.000132934
0.0126,174.5,731.7657,4.1935,0.000146353
0.0128,182.5,765.405,4.194,0.000153081
0.013,181,759.0235,4.1935,0.000151805
0.0132,136.5,572.4128,4.1935,0.000114483
0.0134,150,629.025,4.1935,0.000125805
0.0136,149,624.6825,4.1925,0.000124937
0.0138,146.5,614.421,4.194,0.000122884
0.014,126.5,530.3513,4.1925,0.00010607
0.0142,147.5,618.3937,4.1925,0.000123679
0.0144,149.5,626.7787,4.1925,0.000125356
0.0146,150.5,631.1218,4.1935,0.000126224
0.0148,142,595.477,4.1935,0.000119095
0.015,149,624.8315,4.1935,0.000124966
0.0152,152.5,639.5087,4.1935,0.000127902
0.0154,156.5,656.361,4.194,0.000131272
0.0156,148,620.638,4.1935,0.000124128
0.0158,163.5,685.6373,4.1935,0.000137127
0.016,157,658.3795,4.1935,0.000131676
0.0162,156.5,656.361,4.194,0.000131272
0.0164,154.5,648.1275,4.195,0.000129625
0.0166,142.5,597.5737,4.1935,0.000119515
