Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V)
0.0000,105.5,442.4142,4.1935
0.0002,107.5,450.8013,4.1935
0.0004,122,511.607,4.1935
0.0006,122.5,513.7037,4.1935
0.0008,111,465.534,4.194
0.0010,105,440.3175,4.1935
0.0012,122,511.485,4.1925
0.0014,123,515.8005,4.1935
0.0016,112.5,471.825,4.194
0.0018,100.5,421.3463,4.1925
0.0020,122.5,513.7037,4.1935
0.0022,122.5,513.7037,4.1935
0.0024,115,482.1375,4.1925
0.0026,99,415.0575,4.1925
0.0028,121,507.4135,4.1935
0.0030,121.5,509.5103,4.1935
0.0032,118,494.833,4.1935
0.0034,96,402.48,4.1925
0.0036,121.5,509.5103,4.1935
0.0038,122.5,513.7037,4.1935
0.0040,121.5,509.6925,4.195
0.0042,101,423.5435,4.1935
0.0044,95.5,400.527,4.194
0.0046,97.5,408.8662,4.1935
0.0048,98,410.963,4.1935
0.0050,98,410.865,4.1925
0.0052,131,549.3485,4.1935
0.0054,147,616.4445,4.1935
0.0056,145,608.0575,4.1935
0.0058,129.5,543.0582,4.1935
0.0060,126,528.381,4.1935
0.0062,150.5,631.1218,4.1935
0.0064,146.5,614.3478,4.1935
0.0066,132.5,555.6387,4.1935
0.0068,130,545.155,4.1935
0.0070,151.5,635.1638,4.1925
0.0072,150.5,630.9713,4.1925
0.0074,141,591.2835,4.1935
0.0076,124,519.87,4.1925
0.0078,148.5,622.7347,4.1935
0.0080,149.5,626.9283,4.1935
0.0082,150,629.025,4.1935
0.0084,126.5,530.3513,4.1925
0.0086,150,629.025,4.1935
0.0088,156,654.03,4.1925
0.0090,153.5,643.7023,4.1935
0.0092,125,524.0625,4.1925
0.0094,147,616.4445,4.1935
0.0096,149,624.8315,4.1935
0.0098,148.5,622.7347,4.1935
0.0100,126.5,530.4777,4.1935
0.0102,125,524.1875,4.1935
0.0104,124.5,522.0908,4.1935
0.0106,125,524.25,4.194
0.0108,104,436.124,4.1935
0.0110,111,465.4785,4.1935
0.0112,124,519.994,4.1935
0.0114,130.5,547.317,4.194
0.0116,109,457.0915,4.1935
0.0118,110.5,463.3817,4.1935
0.0120,123.5,517.8973,4.1935
0.0122,122,511.607,4.1935
0.0124,110.5,463.437,4.194
0.0126,104,436.02,4.1925
0.0128,126,528.381,4.1935
0.0130,125,524.1875,4.1935
0.0132,114.5,480.1558,4.1935
0.0134,101,423.4425,4.1925
0.0136,124.5,522.0908,4.1935
0.0138,130.5,547.2518,4.1935
0.0140,120,503.28,4.194
0.0142,99,415.0575,4.1925
0.0144,122.5,513.7037,4.1935
0.0146,121.5,509.5103,4.1935
0.0148,119,499.205,4.195
0.0150,99,415.0575,4.1925
0.0152,119,499.0265,4.1935
0.0154,123.5,517.8973,4.1935
0.0156,122,511.668,4.194
0.0158,96.5,404.5763,4.1925
0.0160,116,486.446,4.1935
0.0162,125.5,526.2842,4.1935
0.0164,125,524.25,4.194
0.0166,101,423.4425,4.1925
0.0168,114,477.945,4.1925
0.0170,123.5,517.7737,4.1925
0.0172,123,515.862,4.194
0.0174,103,431.9305,4.1935
0.0176,109,457.0915,4.1935
0.0178,123,515.8005,4.1935
0.0180,123,515.8005,4.1935
0.0182,108,452.898,4.1935
0.0184,107,448.7045,4.1935
0.0186,121.5,509.5103,4.1935
0.0188,122,511.607,4.1935
0.0190,110.5,463.3817,4.1935
0.0192,101.5,425.6403,4.1935
0.0194,122,511.607,4.1935
0.0196,123,515.862,4.194
0.0198,113.5,476.019,4.194
0.0200,100,419.35,4.1935
0.0202,122.5,513.7037,4.1935
0.0204,122,511.607,4.1935
0.0206,117,490.6395,4.1935
0.0208,97,406.7695,4.1935
0.0210,98.5,412.9613,4.1925
0.0212,99.5,417.2533,4.1935
0.0214,96.5,404.6728,4.1935
0.0216,101,423.3415,4.1915
0.0218,139,582.8965,4.1935
0.0220,145.5,610.1542,4.1935
0.0222,143,599.6705,4.1935
0.0224,124.5,522.0908,4.1935
0.0226,133,557.7355,4.1935
0.0228,151.5,635.3152,4.1935
0.0230,146.5,614.3478,4.1935
0.0232,127,532.5745,4.1935
0.0234,138,578.703,4.1935
0.0236,151.5,635.3152,4.1935
0.0238,149.5,626.9283,4.1935
0.0240,150,629.025,4.1935
0.0242,156.5,656.2828,4.1935
0.0244,162.5,681.2812,4.1925
0.0246,170.5,714.9918,4.1935
0.0248,158.5,664.6697,4.1935
0.0250,140,586.95,4.1925
0.0252,164.5,689.8307,4.1935
0.0254,172,721.282,4.1935
0.0256,170,712.98,4.194
0.0258,149.5,626.9283,4.1935
0.0260,174.5,731.7657,4.1935
0.0262,172.5,723.2063,4.1925
0.0264,170,712.895,4.1935
0.0266,147,616.2975,4.1925
0.0268,148,620.638,4.1935
0.0270,146.5,614.3478,4.1935
0.0272,147.5,618.615,4.194
0.0274,128.5,538.6078,4.1915
0.0276,151,633.2185,4.1935
0.0278,173.5,727.5723,4.1935
0.0280,185,775.7975,4.1935
0.0282,158.5,664.5113,4.1925
0.0284,177,742.2495,4.1935
0.0286,184.5,773.5163,4.1925
0.0288,187.5,786.2812,4.1935
0.0290,179.5,752.7333,4.1935
0.0292,194.5,815.6357,4.1935
0.0294,211,884.8285,4.1935
0.0296,194,813.539,4.1935
0.0298,172.5,723.2063,4.1925
0.0300,170.5,714.9918,4.1935
0.0302,186,779.805,4.1925
0.0304,192.5,807.0563,4.1925
0.0306,191,800.9585,4.1935
0.0308,184.5,773.5163,4.1925
0.0310,209,876.4415,4.1935
0.0312,204,855.474,4.1935
0.0314,181.5,761.1202,4.1935
0.0316,164,687.57,4.1925
0.0318,187,784.1845,4.1935
0.0320,193.5,811.2488,4.1925
0.0322,198.5,832.4097,4.1935
0.0324,177.5,744.1688,4.1925
0.0326,207.5,869.9438,4.1925
0.0328,226,947.505,4.1925
0.0330,225.5,945.6343,4.1935
0.0332,212.5,890.9062,4.1925
0.0334,236,989.666,4.1935
0.0336,244,1023.214,4.1935
0.0338,247,1035.7946,4.1935
0.0340,226.5,949.6013,4.1925
0.0342,244,1023.214,4.1935
0.0344,249,1043.9325,4.1925
0.0346,252.5,1058.8588,4.1935
0.0348,228,956.118,4.1935
0.0350,239.5,1004.1038,4.1925
0.0352,250,1048.375,4.1935
0.0354,245.5,1029.5043,4.1935
0.0356,232,972.892,4.1935
0.0358,234.5,983.3757,4.1935
0.0360,245,1027.1625,4.1925
0.0362,230.5,966.6017,4.1935
0.0364,185,775.7975,4.1935
0.0366,171.5,719.1852,4.1935
0.0368,187.5,786.2812,4.1935
0.0370,185.5,777.7088,4.1925
0.0372,181,759.0235,4.1935
0.0374,163.5,685.6373,4.1935
0.0376,187,783.9975,4.1925
0.0378,212.5,891.1188,4.1935
0.0380,208.5,874.3448,4.1935
0.0382,215.5,903.4838,4.1925
0.0384,259.5,1088.2133,4.1935
0.0386,268.5,1125.6863,4.1925
0.0388,276,1157.406,4.1935
0.0390,257.5,1079.3113,4.1915
0.0392,274,1149.019,4.1935
0.0394,264,1106.8201,4.1925
0.0396,269,1128.1859,4.194
0.0398,239.5,1004.3433,4.1935
0.0400,247,1035.5475,4.1925
0.0402,255.5,1071.1837,4.1925
0.0404,251.5,1054.791,4.194
0.0406,234.5,983.1413,4.1925
0.0408,248,1039.74,4.1925
0.0410,262,1098.4351,4.1925
0.0412,259.5,1088.2133,4.1935
0.0414,243,1018.7775,4.1925
0.0416,233,976.8525,4.1925
0.0418,230,964.505,4.1935
0.0420,233,976.8525,4.1925
0.0422,218,914.183,4.1935
0.0424,220.5,924.9976,4.195
0.0426,184.5,773.7007,4.1935
0.0428,175,733.8625,4.1935
0.0430,169,708.7015,4.1935
0.0432,148.5,622.7347,4.1935
0.0434,153,641.6055,4.1935
0.0436,152.5,639.5087,4.1935
0.0438,147,616.4445,4.1935
0.0440,125.5,526.1588,4.1925
0.0442,147.5,618.3937,4.1925
0.0444,155.5,652.0892,4.1935
0.0446,151.5,635.391,4.194
0.0448,126,528.129,4.1915
0.0450,148.5,622.7347,4.1935
0.0452,149.5,626.9283,4.1935
0.0454,148.5,622.809,4.194
0.0456,127,532.4476,4.1925
0.0458,146.5,614.3478,4.1935
0.0460,150.5,631.1218,4.1935
0.0462,151,633.2939,4.194
0.0464,130,545.155,4.1935
0.0466,139.5,584.9933,4.1935
0.0468,153.5,643.5488,4.1925
0.0470,157.5,660.555,4.194
0.0472,136,570.316,4.1935
0.0474,139.5,584.7143,4.1915
0.0476,186,779.805,4.1925
0.0478,187,784.1845,4.1935
0.0480,185,775.7975,4.1935
0.0482,179.5,752.7333,4.1935
0.0484,199,834.5065,4.1935
0.0486,197,826.1195,4.1935
0.0488,189,792.5715,4.1935
0.0490,178.5,748.5397,4.1935
0.0492,196,821.73,4.1925
0.0494,198,830.1151,4.1925
0.0496,192.5,807.2488,4.1935
0.0498,176,738.056,4.1935
0.0500,194,813.539,4.1935
0.0502,192.5,807.0563,4.1925
0.0504,195,817.7325,4.1935
0.0506,171.5,719.1852,4.1935
0.0508,185,775.7975,4.1935
0.0510,186,779.991,4.1935
0.0512,185,775.7975,4.1935
0.0514,165.5,693.8588,4.1925
0.0516,189.5,794.6683,4.1935
0.0518,194.5,815.6357,4.1935
0.0520,193,809.3455,4.1935
0.0522,168.5,706.4363,4.1925
0.0524,174.5,731.7657,4.1935
0.0526,197.5,828.2162,4.1935
0.0528,196,821.926,4.1935
0.0530,171.5,719.1852,4.1935
0.0532,177.5,744.1688,4.1925
0.0534,192.5,807.2488,4.1935
0.0536,186.5,781.9012,4.1925
0.0538,171.5,719.1852,4.1935
0.0540,158,662.573,4.1935
0.0542,158.5,664.6697,4.1935
0.0544,161,675.1535,4.1935
0.0546,165,691.9275,4.1935
0.0548,192,804.96,4.1925
0.0550,221,926.5425,4.1925
0.0552,214.5,899.2913,4.1925
0.0554,212.5,891.1188,4.1935
0.0556,183,767.2275,4.1925
0.0558,206,863.655,4.1925
0.0560,210,880.635,4.1935
0.0562,203,851.2805,4.1935
0.0564,199,834.3075,4.1925
0.0566,229.5,962.4083,4.1935
0.0568,234.5,983.3757,4.1935
0.0570,228,956.46,4.195
0.0572,196,821.73,4.1925
0.0574,209,876.546,4.194
0.0576,216,905.58,4.1925
0.0578,215.5,903.6993,4.1935
0.0580,194.5,815.6357,4.1935
0.0582,209,876.4415,4.1935
0.0584,227,951.6975,4.1925
0.0586,229.5,962.4083,4.1935
0.0588,194.5,815.4413,4.1925
0.0590,197.5,828.2162,4.1935
0.0592,210,880.425,4.1925
0.0594,225,943.5375,4.1935
0.0596,224.5,941.4407,4.1935
0.0598,224.5,941.2162,4.1925
0.0600,232,972.892,4.1935
0.0602,214.5,899.5057,4.1935
0.0604,195,817.5375,4.1925
0.0606,197,825.9225,4.1925
0.0608,223.5,937.2473,4.1935
0.0610,237.5,995.9562,4.1935
0.0612,211,884.8285,4.1935
0.0614,182,763.035,4.1925
0.0616,206,863.861,4.1935
0.0618,197,825.9225,4.1925
0.0620,190.5,798.8618,4.1935
0.0622,165.5,693.6933,4.1915
0.0624,189.5,794.7629,4.194
0.0626,200,838.7,4.1935
0.0628,197.5,828.2162,4.1935
0.0630,178.5,748.3613,4.1925
0.0632,194.5,815.733,4.194
0.0634,198,830.313,4.1935
0.0636,194.5,815.6357,4.1935
0.0638,182.5,764.9488,4.1915
0.0640,186.5,782.0878,4.1935
0.0642,200.5,840.7968,4.1935
0.0644,217.5,912.0862,4.1935
0.0646,201.5,845.0909,4.194
0.0648,216,905.796,4.1935
0.0650,213,893.0025,4.1925
0.0652,192,805.152,4.1935
0.0654,169,708.7015,4.1935
0.0656,167,700.1475,4.1925
0.0658,180,754.65,4.1925
0.0660,181,759.0235,4.1935
0.0662,183.5,769.5989,4.194
0.0664,163,683.3775,4.1925
0.0666,206,863.655,4.1925
0.0668,210,880.635,4.1935
0.0670,196,821.926,4.1935
0.0672,180,754.83,4.1935
0.0674,196,821.926,4.1935
0.0676,204,855.474,4.1935
0.0678,191,800.9585,4.1935
0.0680,175.5,735.7838,4.1925
0.0682,191,800.9585,4.1935
0.0684,197.5,828.2162,4.1935
0.0686,190,796.765,4.1935
0.0688,185,775.6125,4.1925
0.0690,212.5,891.1188,4.1935
0.0692,212,889.022,4.1935
0.0694,200,838.7,4.1935
0.0696,175.5,735.7838,4.1925
0.0698,194.5,815.6357,4.1935
0.0700,212,889.022,4.1935
0.0702,217.5,912.0862,4.1935
0.0704,189,792.5715,4.1935
0.0706,172.5,723.3788,4.1935
0.0708,194.5,815.6357,4.1935
0.0710,193,809.3455,4.1935
0.0712,185.5,777.8943,4.1935
0.0714,220.5,924.6667,4.1935
0.0716,240.5,1008.5367,4.1935
