Time (s),Main Avg Current (mA),Main Avg Power (mW),,
0,616.5,2584.6763,4.194,0.00051712
0.0002,610,2558.0349,4.194,0.000511668
0.0004,581,2436.4236,4.194,0.000487343
0.0006,604.5,2534.3662,4.194,0.000507055
0.0008,620.5,2602.0669,4.194,0.000520475
0.001,603,2528.6804,4.194,0.000505796
0.0012,585,2453.1975,4.194,0.000490698
0.0014,610.5,2560.1318,4.194,0.000512087
0.0016,652.5,2735.6064,4.194,0.000547317
0.0018,673,2822.2256,4.194,0.000564512
0.002,665,2789.0098,4.194,0.000557802
0.0022,633.5,2656.5823,4.194,0.00053138
0.0024,616.5,2584.6763,4.194,0.00051712
0.0026,634.5,2660.7759,4.194,0.000532219
0.0028,610.5,2558.9109,4.194,0.000512087
0.003,626.5,2626.6013,4.194,0.000525508
0.0032,633,2654.4856,4.194,0.00053096
0.0034,606.5,2543.3577,4.194,0.000508732
0.0036,597,2503.5195,4.194,0.000500764
0.0038,613,2570.6155,4.194,0.000514184
0.004,626,2624.5051,4.194,0.000525089
0.0042,626,2625.1311,4.194,0.000525089
0.0044,609,2553.8416,4.194,0.000510829
0.0046,598.5,2509.8098,4.194,0.000502022
0.0048,596.5,2501.4229,4.194,0.000500344
0.005,604,2532.874,4.194,0.000506635
0.0052,587.5,2463.6814,4.194,0.000492795
0.0054,585,2453.1975,4.194,0.000490698
0.0056,597.5,2505.6162,4.194,0.000501183
0.0058,600,2516.1001,4.194,0.00050328
0.006,596.5,2500.8264,4.194,0.000500344
0.0062,585.5,2454.7087,4.194,0.000491117
0.0064,609,2553.8416,4.194,0.000510829
0.0066,613.5,2572.7122,4.194,0.000514604
0.0068,608,2549.6479,4.194,0.00050999
0.007,586.5,2459.4878,4.194,0.000491956
0.0072,601,2520.2935,4.194,0.000504119
0.0074,619.5,2597.2539,4.194,0.000519637
0.0076,619,2595.1575,4.194,0.000519217
0.0078,650,2725.125,4.194,0.00054522
0.008,706,2959.905,4.194,0.000592193
0.0082,771.5,3234.5139,4.194,0.000647134
0.0084,801,3358.1926,4.194,0.000671879
0.0086,755,3166.0925,4.194,0.000633294
0.0088,716.5,3004.6428,4.194,0.000601
0.009,690,2892.135,4.194,0.000578772
0.0092,750.5,3147.2217,4.194,0.000629519
0.0094,752,3152.76,4.194,0.000630778
0.0096,828,3472.218,4.194,0.000694526
0.0098,804.5,3373.6709,4.194,0.000674815
0.01,710.5,2980.5476,4.194,0.000595967
0.0102,629,2637.7114,4.194,0.000527605
0.0104,646.5,2710.4514,4.194,0.000542284
0.0106,714.5,2996.2559,4.194,0.000599323
0.0108,696.5,2920.7727,4.194,0.000584224
0.011,627,2629.3245,4.194,0.000525928
0.0112,651.5,2732.0652,4.194,0.000546478
0.0114,659.5,2764.9539,4.194,0.000553189
0.0116,722.5,3029.0813,4.194,0.000606033
0.0118,756,3171.4202,4.194,0.000634133
0.012,648,2716.74,4.194,0.000543542
0.0122,668,2801.2581,4.194,0.000560318
0.0124,657,2755.1296,4.194,0.000551092
0.0126,665.5,2790.7742,4.194,0.000558221
0.0128,668.5,2802.6863,4.194,0.000560738
0.013,736.5,3088.8809,4.194,0.000617776
0.0132,656,2750.28,4.194,0.000550253
0.0134,670.5,2811.0713,4.194,0.000562415
0.0136,719,3015.1265,4.194,0.000603097
0.0138,734.5,3079.3914,4.194,0.000616099
0.014,737,3090.6096,4.194,0.000618196
0.0142,715.5,2999.7339,4.194,0.000600161
0.0144,671,2812.4966,4.194,0.000562835
0.0146,733,3073.8354,4.194,0.00061484
0.0148,758,3178.6731,4.194,0.00063581
0.015,777.5,3260.8347,4.194,0.000652167
0.0152,742.5,3112.189,4.194,0.000622809
0.0154,813,3407.6897,4.194,0.000681944
0.0156,839.5,3521.7026,4.194,0.000704173
0.0158,726,3041.2141,4.194,0.000608969
0.016,829,3474.7537,4.194,0.000695365
0.0162,920.5,3860.5769,4.194,0.000772115
0.0164,847.5,3553.9912,4.194,0.000710883
0.0166,806.5,3383.2676,4.194,0.000676492
0.0168,669.5,2807.5483,4.194,0.000561577
0.017,629,2635.8245,4.194,0.000527605
0.0172,787.5,3301.5938,4.194,0.000660555
0.0174,947.5,3974.7627,4.194,0.000794763
0.0176,882.5,3701.2048,4.194,0.000740241
0.0178,873,3660.9255,4.194,0.000732272
0.018,906.5,3799.595,4.194,0.000760372
0.0182,889,3728.0215,4.194,0.000745693
0.0184,842.5,3531.3389,4.194,0.000706689
0.0186,899,3768.1587,4.194,0.000754081
0.0188,928,3889.7122,4.194,0.000778406
0.019,948.5,3978.9578,4.194,0.000795602
0.0192,776,3253.3801,4.194,0.000650909
0.0194,771,3232.4175,4.194,0.000646715
0.0196,869,3644.1516,4.194,0.000728917
0.0198,874.5,3667.2158,4.194,0.000733531
0.02,864,3623.1841,4.194,0.000724723
0.0202,896.5,3759.9209,4.194,0.000751984
0.0204,941.5,3948.1802,4.194,0.00078973
0.0206,929.5,3897.8584,4.194,0.000779665
0.0208,921.5,3864.3103,4.194,0.000772954
0.021,976.5,4096.4175,4.194,0.000819088
0.0212,932,3907.4102,4.194,0.000781762
0.0214,872.5,3657.084,4.194,0.000731853
0.0216,908,3807.698,4.194,0.00076163
0.0218,942,3949.3352,4.194,0.00079015
0.022,955,4004.7925,4.194,0.000801054
0.0222,936.5,3927.2129,4.194,0.000785536
0.0224,854,3580.395,4.194,0.000716335
0.0226,926.5,3886.6677,4.194,0.000777148
0.0228,877,3677.6995,4.194,0.000735628
0.023,866,3629.8391,4.194,0.000726401
0.0232,935.5,3924.4226,4.194,0.000784697
0.0234,784.5,3289.8008,4.194,0.000658039
0.0236,743,3114.2847,4.194,0.000623228
0.0238,864,3623.1841,4.194,0.000724723
0.024,923.5,3871.7739,4.194,0.000774632
0.0242,908.5,3809.7947,4.194,0.00076205
0.0244,895.5,3756.6226,4.194,0.000751145
0.0246,822.5,3448.3313,4.194,0.000689913
0.0248,875,3669.7498,4.194,0.00073395
0.025,827.5,3470.1213,4.194,0.000694107
0.0252,809,3392.5415,4.194,0.000678589
0.0254,845.5,3545.6042,4.194,0.000709205
0.0256,829,3474.7537,4.194,0.000695365
0.0258,865,3628.675,4.194,0.000725562
0.026,755,3164.5825,4.194,0.000633294
0.0262,913,3828.6655,4.194,0.000765824
0.0264,893,3744.7957,4.194,0.000749048
0.0266,848,3556.0881,4.194,0.000711302
0.0268,847.5,3553.9912,4.194,0.000710883
0.027,814,3413.509,4.194,0.000682783
0.0272,815,3416.8877,4.194,0.000683622
0.0274,890,3732.2151,4.194,0.000746532
0.0276,880.5,3692.3767,4.194,0.000738563
0.0278,701.5,2941.7402,4.194,0.000588418
0.028,709,2973.1917,4.194,0.000594709
0.0282,678.5,2845.2898,4.194,0.000569126
0.0284,642,2690.9431,4.194,0.00053851
0.0286,705.5,2958.5142,4.194,0.000591773
0.0288,706,2960.6111,4.194,0.000592193
0.029,692,2901.9021,4.194,0.00058045
0.0292,689.5,2890.7288,4.194,0.000578353
0.0294,625,2620.9375,4.194,0.00052425
0.0296,462.5,1939.4938,4.194,0.000387945
0.0298,410,1718.925,4.194,0.000343908
0.03,454.5,1907.082,4.194,0.000381235
0.0302,431,1807.3986,4.194,0.000361523
0.0304,499.5,2095.9021,4.194,0.000418981
0.0306,495,2075.2876,4.194,0.000415206
