Time (s),Main Avg Current (mA),Main Avg Power (mW),,
0,267,1119.6646,4.195,0.000224013
0.0002,277,1161.7379,4.195,0.000232403
0.0004,239,1002.605,4.195,0.000200521
0.0006,216,905.796,4.195,0.000181224
0.0008,219.5,920.4733,4.195,0.000184161
0.001,230,964.505,4.195,0.00019297
0.0012,230.5,966.6017,4.195,0.00019339
0.0014,236,989.666,4.195,0.000198004
0.0016,248,1040.36,4.195,0.000208072
0.0018,232,972.892,4.195,0.000194648
0.002,234,981.279,4.195,0.000196326
0.0022,224,939.4559,4.195,0.000187936
0.0024,222.5,933.0538,4.195,0.000186678
0.0026,234,981.279,4.195,0.000196326
0.0028,235.5,987.687,4.195,0.000197585
0.003,230.5,966.7169,4.195,0.00019339
0.0032,214.5,899.5057,4.195,0.000179966
0.0034,226,947.8439,4.195,0.000189614
0.0036,233.5,979.1823,4.195,0.000195907
0.0038,235.5,987.5693,4.195,0.000197585
0.004,212,888.81,4.195,0.000177868
0.0042,228.5,958.3289,4.195,0.000191712
0.0044,233.5,979.1823,4.195,0.000195907
0.0046,232.5,975.3375,4.195,0.000195068
0.0048,214,897.409,4.195,0.000179546
0.005,224,939.4559,4.195,0.000187936
0.0052,232.5,975.1049,4.195,0.000195068
0.0054,235.5,987.9225,4.195,0.000197585
0.0056,217.5,912.1949,4.195,0.000182483
0.0058,221,926.7635,4.195,0.000185419
0.006,232,972.892,4.195,0.000194648
0.0062,232.5,974.9888,4.195,0.000195068
0.0064,219.5,920.5829,4.195,0.000184161
0.0066,217.5,911.8688,4.195,0.000182483
0.0068,232.5,974.9888,4.195,0.000195068
0.007,232.5,974.9888,4.195,0.000195068
0.0072,222,931.0679,4.195,0.000186258
0.0074,215,901.6025,4.195,0.000180385
0.0076,232.5,974.9888,4.195,0.000195068
0.0078,233.5,979.299,4.195,0.000195907
0.008,225,943.5375,4.195,0.000188775
0.0082,213.5,895.3123,4.195,0.000179126
0.0084,233.5,979.1823,4.195,0.000195907
0.0086,252,1056.762,4.195,0.000211428
0.0088,260.5,1092.4067,4.195,0.000218559
0.009,315,1320.6376,4.195,0.000264285
0.0092,337.5,1415.3063,4.195,0.000283163
0.0094,327,1371.2745,4.195,0.000274353
0.0096,344,1442.564,4.195,0.000288616
0.0098,344.5,1444.3163,4.195,0.000289036
0.01,386,1617.9191,4.195,0.000323854
0.0102,439,1840.9465,4.195,0.000368321
0.0104,383.5,1608.2073,4.195,0.000321757
0.0106,320.5,1343.6963,4.195,0.0002689
0.0108,341.5,1432.251,4.195,0.000286518
0.011,339.5,1423.6932,4.195,0.000284841
0.0112,320,1342.08,4.195,0.00026848
0.0114,284,1190.954,4.195,0.000238276
0.0116,278,1165.793,4.195,0.000233242
0.0118,285,1195.1475,4.195,0.000239115
0.012,283,1186.7605,4.195,0.000237437
0.0122,270.5,1134.3418,4.195,0.000226949
0.0124,280.5,1176.2767,4.195,0.00023534
0.0126,310.5,1302.0818,4.195,0.00026051
0.0128,301,1262.2435,4.195,0.000252539
0.013,285.5,1197.2443,4.195,0.000239535
0.0132,288.5,1209.8247,4.195,0.000242052
0.0134,307,1287.0975,4.195,0.000257573
0.0136,334.5,1402.3912,4.195,0.000280646
0.0138,329,1379.6615,4.195,0.000276031
0.014,304.5,1276.9208,4.195,0.000255476
0.0142,295.5,1239.3269,4.195,0.000247924
0.0144,304,1274.824,4.195,0.000255056
0.0146,317,1329.3395,4.195,0.000265963
0.0148,298,1249.663,4.195,0.000250022
0.015,306,1282.905,4.195,0.000256734
0.0152,299,1253.8566,4.195,0.000250861
0.0154,265,1111.2775,4.195,0.000222335
0.0156,232.5,974.9888,4.195,0.000195068
0.0158,242.5,1017.0449,4.195,0.000203457
0.016,243,1019.0205,4.195,0.000203877
0.0162,240.5,1008.5367,4.195,0.00020178
0.0164,221.5,928.8602,4.195,0.000185838
0.0166,241.5,1012.7303,4.195,0.000202618
0.0168,243,1019.0205,4.195,0.000203877
0.017,239,1002.366,4.195,0.000200521
0.0172,221,926.7635,4.195,0.000185419
0.0174,235.5,987.5693,4.195,0.000197585
0.0176,240,1006.44,4.195,0.00020136
0.0178,240,1006.2,4.195,0.00020136
0.018,238,998.053,4.195,0.000199682
0.0182,214.5,899.5057,4.195,0.000179965
0.0184,228.5,957.9863,4.195,0.000191711
0.0186,273.5,1147.059,4.195,0.000229467
0.0188,250,1048.375,4.195,0.00020975
0.019,239,1002.2465,4.195,0.000200521
0.0192,258,1081.923,4.195,0.000216462
0.0194,295,1237.0825,4.195,0.000247505
0.0196,269.5,1130.5525,4.195,0.000226111
0.0198,208,872.04,4.195,0.000174512
0.02,224.5,941.4407,4.195,0.000188355
0.0202,226.5,949.8278,4.195,0.000190034
0.0204,220.5,924.6667,4.195,0.000184999
0.0206,201.5,844.9902,4.195,0.000169058
0.0208,223,935.1505,4.195,0.000187097
0.021,223.5,937.3589,4.195,0.000187516
0.0212,223.5,937.2473,4.195,0.000187516
0.0214,196.5,823.8263,4.195,0.000164864
0.0216,220,922.6799,4.195,0.00018458
0.0218,222.5,933.0538,4.195,0.000186677
0.022,225.5,945.9725,4.195,0.000189195
0.0222,202,846.885,4.195,0.000169478
0.0224,219,918.3765,4.195,0.000183741
0.0226,222.5,933.0538,4.195,0.000186678
0.0228,222.5,933.165,4.195,0.000186677
0.023,203,851.2805,4.195,0.000170317
0.0232,215,901.6025,4.195,0.000180385
0.0234,222,930.957,4.195,0.000186258
0.0236,222.5,933.0538,4.195,0.000186678
0.0238,205,859.77,4.195,0.000171995
0.024,213,893.2155,4.195,0.000178707
0.0242,222.5,933.0538,4.195,0.000186678
0.0244,223,935.1505,4.195,0.000187097
0.0246,213,893.2155,4.195,0.000178707
0.0248,208.5,874.3448,4.195,0.000174932
0.025,222,930.957,4.195,0.000186258
0.0252,223,935.1505,4.195,0.000187097
0.0254,212,889.1279,4.195,0.000177868
0.0256,205.5,861.7643,4.195,0.000172414
0.0258,222.5,932.8313,4.195,0.000186677
0.026,223,935.1505,4.195,0.000187097
0.0262,214.5,899.5057,4.195,0.000179965
0.0264,203.5,853.3773,4.195,0.000170736
0.0266,236,989.666,4.195,0.000198004
0.0268,244.5,1025.433,4.195,0.000205135
0.027,239.5,1004.463,4.195,0.00020094
0.0272,223,935.1505,4.195,0.000187097
0.0274,243,1019.0205,4.195,0.000203877
0.0276,244.5,1025.3108,4.195,0.000205135
0.0278,241,1010.754,4.195,0.000202199
0.028,222,930.957,4.195,0.000186258
0.0282,243,1019.0205,4.195,0.000203877
0.0284,250,1048.5,4.195,0.00020975
0.0286,245,1027.4075,4.195,0.000205555
0.0288,231.5,970.7953,4.195,0.000194229
0.029,250,1048.375,4.195,0.00020975
0.0292,251.5,1054.6653,4.195,0.000211008
0.0294,249,1044.5551,4.195,0.000208911
0.0296,228.5,958.2148,4.195,0.000191711
0.0298,242,1014.9479,4.195,0.000203038
0.03,249,1044.1815,4.195,0.000208911
0.0302,251.5,1054.791,4.195,0.000211008
0.0304,234,981.6301,4.195,0.000196326
0.0306,241,1010.6335,4.195,0.000202199
0.0308,251.5,1054.6653,4.195,0.000211008
0.031,251.5,1054.6653,4.195,0.000211008
0.0312,237,993.8595,4.195,0.000198843
0.0314,238,998.053,4.195,0.000199682
0.0316,250,1048.375,4.195,0.00020975
0.0318,250,1048.375,4.195,0.00020975
0.032,235,985.825,4.195,0.000197165
0.0322,209,876.4415,4.195,0.000175351
0.0324,223,935.1505,4.195,0.000187097
0.0326,221.5,928.8602,4.195,0.000185839
0.0328,217,909.7725,4.195,0.000182063
0.033,235.5,987.5693,4.195,0.000197584
0.0332,231.5,970.7953,4.195,0.000194228
0.0334,231.5,970.7953,4.195,0.000194228
0.0336,230,964.505,4.195,0.00019297
0.0338,217.5,911.8688,4.195,0.000182483
0.034,261.5,1096.6002,4.195,0.000219398
0.0342,270.5,1134.3418,4.195,0.000226949
0.0344,281.5,1180.4702,4.195,0.000236178
0.0346,287.5,1205.6312,4.195,0.000241212
0.0348,283,1186.902,4.195,0.000237437
0.035,260.5,1092.4067,4.195,0.000218559
0.0352,236,989.4301,4.195,0.000198004
0.0354,227.5,953.5663,4.195,0.000190872
0.0356,245.5,1029.5043,4.195,0.000205974
0.0358,276.5,1159.2263,4.195,0.000231983
0.036,311,1304.1785,4.195,0.000260929
0.0362,306.5,1285.3077,4.195,0.000257153
0.0364,292,1224.6479,4.195,0.000244988
0.0366,286,1199.3411,4.195,0.000239954
0.0368,278.5,1167.6113,4.195,0.000233661
0.037,263.5,1104.9873,4.195,0.000221076
0.0372,257,1077.7295,4.195,0.000215623
0.0374,259,1085.8575,4.195,0.000217301
0.0376,277,1161.5995,4.195,0.000232403
0.0378,268.5,1125.6863,4.195,0.000225271
0.038,255.5,1071.4392,4.195,0.000214364
0.0382,270,1132.245,4.195,0.00022653
0.0384,270.5,1134.3418,4.195,0.00022695
0.0386,262.5,1100.7937,4.195,0.000220237
0.0388,264.5,1108.9163,4.195,0.000221915
0.039,298,1249.663,4.195,0.000250022
0.0392,259,1086.1165,4.195,0.000217301
0.0394,252.5,1059.2375,4.195,0.000211848
0.0396,234.5,983.1413,4.195,0.000196745
0.0398,269.5,1130.283,4.195,0.00022611
0.04,255.5,1071.4392,4.195,0.000214364
0.0402,253,1061.0819,4.195,0.000212267
0.0404,240.5,1008.5367,4.195,0.000201779
0.0406,250,1048.375,4.195,0.00020975
0.0408,287,1203.5345,4.195,0.000240793
0.041,292.5,1226.7449,4.195,0.000245407
0.0412,263.5,1105.1189,4.195,0.000221076
0.0414,260,1090.3101,4.195,0.00021814
0.0416,264,1107.084,4.195,0.000221496
0.0418,263.5,1105.1189,4.195,0.000221077
0.042,254.5,1067.2457,4.195,0.000213525
0.0422,268.5,1126.089,4.195,0.000225271
0.0424,267.5,1121.7612,4.195,0.000224432
0.0426,263.5,1105.1189,4.195,0.000221076
0.0428,267,1119.6646,4.195,0.000224013
0.043,269.5,1129.8788,4.195,0.000226111
0.0432,283,1186.7605,4.195,0.000237437
0.0434,287.5,1205.3438,4.195,0.000241212
0.0436,280,1174.1801,4.195,0.00023492
0.0438,273,1144.8256,4.195,0.000229047
0.044,285,1195.1475,4.195,0.000239115
0.0442,287,1203.678,4.195,0.000240793
0.0444,283.5,1188.9989,4.195,0.000237856
0.0446,275,1152.9375,4.195,0.000230725
0.0448,291,1220.3085,4.195,0.000244149
0.045,289,1211.9215,4.195,0.000242471
0.0452,286,1199.3411,4.195,0.000239954
0.0454,277,1161.3225,4.195,0.000232403
0.0456,300.5,1260.2969,4.195,0.000252119
0.0458,296,1241.276,4.195,0.000248344
0.046,287.5,1205.7749,4.195,0.000241212
0.0462,261,1094.5035,4.195,0.000218979
0.0464,289,1211.6326,4.195,0.000242471
0.0466,296,1241.276,4.195,0.000248344
0.0468,303,1270.6305,4.195,0.000254217
