Time (s),Main Avg Current (mA),Main Avg Power (mW),,
0,447.5,1876.1438,4.195,0.000375453
0.0002,458.5,1922.7197,4.195,0.000384682
0.0004,524,2196.8701,4.195,0.000439636
0.0006,542,2272.877,4.195,0.000454738
0.0008,465.5,1951.6088,4.195,0.000390555
0.001,436,1828.366,4.195,0.000365804
0.0012,394.5,1653.9413,4.195,0.000330986
0.0014,448.5,1880.3363,4.195,0.000376292
0.0016,514.5,2157.5557,4.195,0.000431666
0.0018,491.5,2060.6138,4.195,0.000412369
0.002,411.5,1725.8309,4.195,0.000345249
0.0022,410,1719.335,4.195,0.00034399
0.0024,416,1744.0801,4.195,0.000349024
0.0026,447,1873.6006,4.195,0.000375033
0.0028,512,2147.3279,4.195,0.000429568
0.003,474,1987.719,4.195,0.000397686
0.0032,427,1790.6245,4.195,0.000358253
0.0034,389.5,1632.9788,4.195,0.000326791
0.0036,410,1718.925,4.195,0.00034399
0.0038,455,1907.5875,4.195,0.000381745
0.004,486,2038.2839,4.195,0.000407754
0.0042,464,1946.0159,4.195,0.000389296
0.0044,390.5,1637.5618,4.195,0.000327629
0.0046,405.5,1700.4642,4.195,0.000340214
0.0048,420.5,1762.9463,4.195,0.0003528
0.005,414.5,1738.2058,4.195,0.000347765
0.0052,440,1845.14,4.195,0.00036916
0.0054,460.5,1931.1068,4.195,0.000386359
0.0056,438,1836.7531,4.195,0.000367482
0.0058,404,1693.77,4.195,0.000338956
0.006,436,1828.366,4.195,0.000365804
0.0062,476,1996.1061,4.195,0.000399364
0.0064,500.5,2099.0969,4.195,0.000419919
0.0066,444,1861.9141,4.195,0.000372516
0.0068,396,1660.626,4.195,0.000332244
0.007,373.5,1566.2722,4.195,0.000313367
0.0072,401.5,1683.6903,4.195,0.000336859
0.0074,430,1802.775,4.195,0.00036077
0.0076,376.5,1578.4763,4.195,0.000315884
0.0078,410,1719.335,4.195,0.00034399
0.008,393.5,1650.3389,4.195,0.000330147
0.0082,376,1576.004,4.195,0.000315464
0.0084,447,1874.4945,4.195,0.000375033
0.0086,481.5,2019.1703,4.195,0.000403979
0.0088,508,2130.2981,4.195,0.000426212
0.009,432.5,1813.2563,4.195,0.000362868
0.0092,439.5,1843.0432,4.195,0.000368741
0.0094,380.5,1595.6267,4.195,0.000319239
0.0096,375.5,1574.2838,4.195,0.000315045
0.0098,446.5,1873.0676,4.195,0.000374614
0.01,428.5,1797.5576,4.195,0.000359512
0.0102,385.5,1616.5942,4.195,0.000323434
0.0104,375.5,1574.2838,4.195,0.000315045
0.0106,419.5,1758.3344,4.195,0.000351961
0.0108,473.5,1985.6223,4.195,0.000397266
0.011,394.5,1654.3358,4.195,0.000330986
0.0112,384,1610.4958,4.195,0.000322176
0.0114,394,1652.239,4.195,0.000330566
0.0116,401,1681.5935,4.195,0.000336439
0.0118,390.5,1637.1713,4.195,0.00032763
0.012,386,1618.691,4.195,0.000323854
0.0122,393,1648.0455,4.195,0.000329727
0.0124,395.5,1658.7269,4.195,0.000331825
0.0126,387.5,1624.9813,4.195,0.000325113
0.0128,369.5,1549.1288,4.195,0.00031001
0.013,386,1618.691,4.195,0.000323854
0.0132,393,1648.0455,4.195,0.000329727
0.0134,396.5,1662.7228,4.195,0.000332663
0.0136,372.5,1562.0787,4.195,0.000312528
0.0138,382,1602.1079,4.195,0.000320498
0.014,396,1660.2301,4.195,0.000332244
0.0142,390,1635.0751,4.195,0.00032721
0.0144,395.5,1658.1338,4.195,0.000331825
0.0146,430,1803.4199,4.195,0.00036077
0.0148,443,1857.7205,4.195,0.000371677
0.015,452,1895.6879,4.195,0.000379228
0.0152,441.5,1850.9888,4.195,0.000370419
0.0154,515.5,2161.2339,4.195,0.000432504
0.0156,592.5,2484.0564,4.195,0.000497108
0.0158,558.5,2342.0698,4.195,0.000468581
0.016,507,2126.1047,4.195,0.000425373
0.0162,494.5,2073.1914,4.195,0.000414886
0.0164,466.5,1955.8013,4.195,0.000391393
0.0166,510.5,2140.7817,4.195,0.000428309
0.0168,511.5,2144.9753,4.195,0.000429149
0.017,474.5,1989.3413,4.195,0.000398105
0.0172,497.5,2086.2664,4.195,0.000417402
0.0174,533.5,2236.6987,4.195,0.000447607
0.0176,567,2377.7146,4.195,0.000475713
0.0178,576,2414.8801,4.195,0.000483264
0.018,546,2289.6511,4.195,0.000458094
0.0182,502,2104.635,4.195,0.000421178
0.0184,558,2340.252,4.195,0.000468162
0.0186,552,2315.0879,4.195,0.000463128
0.0188,521,2184.8135,4.195,0.000437119
0.019,491.5,2061.3508,4.195,0.000412368
0.0192,402,1685.9879,4.195,0.000337278
0.0194,354.5,1486.5958,4.195,0.000297425
0.0196,375,1572.5625,4.195,0.000314625
0.0198,386.5,1620.7877,4.195,0.000324273
0.02,381.5,1599.8203,4.195,0.000320078
0.0202,357,1497.0795,4.195,0.000299523
0.0204,390.5,1637.1713,4.195,0.000327629
0.0206,445.5,1867.7588,4.195,0.000373774
0.0208,473.5,1985.6223,4.195,0.000397267
0.021,465.5,1952.0742,4.195,0.000390554
0.0212,490.5,2056.4214,4.195,0.000411529
0.0214,545.5,2287.0088,4.195,0.000457675
0.0216,594,2490.939,4.195,0.000498366
0.0218,565.5,2371.4243,4.195,0.000474454
0.022,528,2213.6401,4.195,0.000442992
0.0222,543,2276.5276,4.195,0.000455577
0.0224,584.5,2450.5164,4.195,0.000490395
0.0226,584,2448.4202,4.195,0.000489976
0.0228,528,2214.168,4.195,0.000442992
0.023,505,2117.2126,4.195,0.000423695
0.0232,572,2398.6821,4.195,0.000479908
0.0234,561,2352.5535,4.195,0.000470679
0.0236,530,2222.5549,4.195,0.00044467
0.0238,582,2440.0352,4.195,0.000488298
0.024,645.5,2707.2268,4.195,0.000541574
0.0242,506.5,2124.7676,4.195,0.000424954
0.0244,386.5,1620.4012,4.195,0.000324273
0.0246,412,1728.3401,4.195,0.000345668
0.0248,366.5,1536.9177,4.195,0.000307494
0.025,390,1635.465,4.195,0.00032721
0.0252,360,1509.3,4.195,0.00030204
0.0254,376,1576.756,4.195,0.000315464
0.0256,388,1626.6901,4.195,0.000325532
0.0258,387.5,1624.9813,4.195,0.000325112
0.026,371,1555.4176,4.195,0.000311269
0.0262,387.5,1624.5938,4.195,0.000325112
0.0264,402,1685.787,4.195,0.000337278
0.0266,383.5,1608.2073,4.195,0.000321757
0.0268,375.5,1574.2838,4.195,0.000315044
0.027,386,1618.3051,4.195,0.000323854
0.0272,425,1782.45,4.195,0.000356575
0.0274,394,1652.239,4.195,0.000330566
0.0276,362,1518.047,4.195,0.000303718
0.0278,386,1618.3051,4.195,0.000323854
0.028,408.5,1713.0448,4.195,0.000342731
0.0282,372,1559.9821,4.195,0.000312108
0.0284,369,1547.4015,4.195,0.000309591
0.0286,385.5,1616.2087,4.195,0.000323434
0.0288,398,1669.0131,4.195,0.000333922
0.029,386.5,1620.7877,4.195,0.000324273
0.0292,369,1546.6636,4.195,0.000309591
0.0294,401.5,1684.2926,4.195,0.000336859
