Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),
0,719,3016.2051,4.195,0.000603241
0.0002,780.5,3273.4167,4.194,0.000654683
0.0004,807.5,3386.6548,4.194,0.000677331
0.0006,746.5,3130.4478,4.1935,0.00062609
0.0008,690,2893.5151,4.1935,0.000578703
0.001,690.5,2894.9214,4.1925,0.000578984
0.0012,723,3030.4546,4.1915,0.000606091
0.0014,679,2847.3865,4.1935,0.000569477
0.0016,649,2720.9326,4.1925,0.000544187
0.0018,644.5,2701.4219,4.1915,0.000540284
0.002,746.5,3128.9548,4.1915,0.000625791
0.0022,746,3128.3511,4.1935,0.00062567
0.0024,651.5,2730.7625,4.1915,0.000546152
0.0026,743.5,3117.8672,4.1935,0.000623573
0.0028,774.5,3247.8657,4.1935,0.000649573
0.003,742,3111.5771,4.1935,0.000622315
0.0032,741.5,3108.7388,4.1925,0.000621748
0.0034,745,3122.6677,4.1915,0.000624534
0.0036,987,4135.5303,4.19,0.000827106
0.0038,1207.5,5062.4438,4.1925,0.001012489
0.004,1198.5,5024.7114,4.1925,0.001004942
0.0042,1219.5,5110.3145,4.1905,0.001022063
0.0044,1149,4813.1611,4.189,0.000962632
0.0046,1213.5,5090.6328,4.195,0.001018127
0.0048,1192,4997.46,4.1925,0.000999492
0.005,1152,4828.6084,4.1915,0.000965722
0.0052,983,4123.6851,4.195,0.000824737
0.0054,841,3525.8926,4.1925,0.000705178
0.0056,849,3559.4326,4.1925,0.000711886
0.0058,815.5,3419.7993,4.1935,0.00068396
0.006,757,3174.8579,4.194,0.000634972
0.0062,814,3414.7302,4.195,0.000682946
0.0064,706.5,2962.0012,4.1925,0.0005924
0.0066,705.5,2957.8088,4.1925,0.000591562
0.0068,772.5,3237.9338,4.1915,0.000647587
0.007,947.5,3972.3938,4.1925,0.000794479
0.0072,979,4104.4575,4.1925,0.000820892
0.0074,987,4137.9976,4.1925,0.000827599
0.0076,994,4167.3452,4.1925,0.000833469
0.0078,983.5,4123.3237,4.1925,0.000824665
0.008,884,3707.054,4.1935,0.000741411
0.0082,789.5,3309.9788,4.1925,0.000661996
0.0084,805,3375.7676,4.1935,0.000675154
0.0086,807,3383.3477,4.1925,0.00067667
0.0088,799,3350.6064,4.1935,0.000670121
0.009,790.5,3314.9617,4.1935,0.000662992
0.0092,806,3379.155,4.1925,0.000675831
0.0094,801.5,3360.2888,4.1925,0.000672058
0.0096,751.5,3150.6638,4.1925,0.000630133
0.0098,832.5,3491.5049,4.194,0.000698301
0.01,796,3337.23,4.1925,0.000667446
0.0102,871,3650.7966,4.1915,0.000730159
0.0104,898,3765.7629,4.1935,0.000753153
0.0106,865,3627.3774,4.1935,0.000725476
0.0108,872,3655.8601,4.1925,0.000731172
0.011,859.5,3603.4539,4.1925,0.000720691
0.0112,855,3584.5876,4.1925,0.000716918
0.0114,863.5,3621.5188,4.194,0.000724304
0.0116,882,3697.7852,4.1925,0.000739557
0.0118,925.5,3880.1589,4.1925,0.000776032
0.012,893.5,3747.3389,4.194,0.000749468
0.0122,696.5,2920.0764,4.1925,0.000584015
0.0124,811,3399.3066,4.1915,0.000679861
0.0126,831.5,3486.8953,4.1935,0.000697379
0.0128,701.5,2941.0388,4.1925,0.000588208
0.013,695.5,2915.8838,4.1925,0.000583177
0.0132,695,2913.7876,4.1925,0.000582758
0.0134,709.5,2973.8694,4.1915,0.000594774
0.0136,850,3564.4751,4.1935,0.000712895
0.0138,905,3794.2126,4.1925,0.000758843
0.014,908,3807.698,4.1935,0.00076154
0.0142,910.5,3817.2712,4.1925,0.000763454
0.0144,924,3874.7939,4.1935,0.000774959
0.0146,910.5,3816.3608,4.1915,0.000763272
0.0148,791.5,3319.1553,4.1935,0.000663831
0.015,759,3182.1077,4.1925,0.000636422
0.0152,870,3647.4751,4.1925,0.000729495
0.0154,799,3351.0059,4.194,0.000670201
