Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),
0,104.5,438.2208,4.1935,8.76442E-05
0.0002,124.5,522.0908,4.1935,0.000104418
0.0004,124.5,522.153,4.194,0.000104431
0.0006,119,499.205,4.195,0.000099841
0.0008,103.5,434.0273,4.1935,8.68055E-05
0.001,123,515.8005,4.1935,0.00010316
0.0012,124.5,522.0908,4.1935,0.000104418
0.0014,122.5,513.765,4.194,0.000102753
0.0016,101.5,425.6403,4.1935,8.51281E-05
0.0018,121.5,509.5103,4.1935,0.000101902
0.002,125,524.25,4.194,0.00010485
0.0022,123.5,517.959,4.194,0.000103592
0.0024,102.5,429.7313,4.1925,8.59463E-05
0.0026,119.5,501.183,4.194,0.000100237
0.0028,124.5,522.153,4.194,0.000104431
0.003,123.5,517.959,4.194,0.000103592
0.0032,107,448.7045,4.1935,8.97409E-05
0.0034,114.5,480.1558,4.1935,9.60312E-05
0.0036,124.5,522.0908,4.1935,0.000104418
0.0038,124.5,522.2775,4.195,0.000104456
0.004,107.5,450.855,4.194,9.0171E-05
0.0042,113.5,475.9622,4.1935,9.51925E-05
0.0044,124.5,522.153,4.194,0.000104431
0.0046,125.5,526.2842,4.1935,0.000105257
0.0048,110.5,463.437,4.194,9.26874E-05
0.005,111,465.4785,4.1935,9.30957E-05
0.0052,125.5,526.2842,4.1935,0.000105257
0.0054,124,519.994,4.1935,0.000103999
0.0056,112.5,471.7688,4.1935,9.43537E-05
0.0058,108,452.952,4.194,9.05904E-05
0.006,123,515.8005,4.1935,0.00010316
0.0062,122.5,513.8875,4.195,0.000102778
0.0064,122,511.79,4.195,0.000102358
0.0066,128,536.768,4.1935,0.000107354
0.0068,121.5,509.571,4.194,0.000101914
0.007,110,461.285,4.1935,9.2257E-05
0.0072,127.5,534.735,4.194,0.000106947
0.0074,121.5,509.3888,4.1925,0.000101878
0.0076,158.5,664.6697,4.1935,0.000132934
0.0078,165.5,694.0242,4.1935,0.000138805
0.008,166.5,698.2178,4.1935,0.000139644
0.0082,152,637.412,4.1935,0.000127482
0.0084,165.5,694.1069,4.194,0.000138821
0.0086,177,742.2495,4.1935,0.00014845
0.0088,176,738.32,4.195,0.000147664
0.009,156.5,656.5175,4.195,0.000131304
0.0092,170.5,714.9918,4.1935,0.000142998
0.0094,179,750.6365,4.1935,0.000150127
0.0096,177,742.2495,4.1935,0.00014845
0.0098,165,691.7625,4.1925,0.000138353
0.01,172.5,723.465,4.194,0.000144693
0.0102,185.5,777.8943,4.1935,0.000155579
0.0104,211.5,887.0309,4.194,0.000177406
0.0106,204.5,857.673,4.194,0.000171535
0.0108,196.5,824.0228,4.1935,0.000164805
0.011,219,918.3765,4.1935,0.000183675
0.0112,218,914.2919,4.194,0.000182858
0.0114,210.5,882.7318,4.1935,0.000176546
0.0116,198.5,832.4097,4.1935,0.000166482
0.0118,220,922.57,4.1935,0.000184514
0.012,217.5,912.0862,4.1935,0.000182417
0.0122,211.5,886.9252,4.1935,0.000177385
0.0124,190,796.765,4.1935,0.000159353
0.0126,187.5,786.2812,4.1935,0.000157256
0.0128,187,784.1845,4.1935,0.000156837
0.013,179,750.726,4.194,0.000150145
0.0132,164,687.734,4.1935,0.000137547
0.0134,176.5,740.1528,4.1935,0.000148031
0.0136,180.5,756.9268,4.1935,0.000151385
0.0138,179.5,752.8229,4.194,0.000150565
0.014,168,704.508,4.1935,0.000140902
0.0142,182,763.217,4.1935,0.000152643
0.0144,193.5,811.4423,4.1935,0.000162288
0.0146,185,776.075,4.195,0.000155215
0.0148,132.5,555.5063,4.1925,0.000111101
0.015,144,604.08,4.195,0.000120816
0.0152,148.5,622.7347,4.1935,0.000124547
0.0154,148.5,622.9575,4.195,0.000124591
0.0156,131,549.3485,4.1935,0.00010987
0.0158,139,582.9659,4.194,0.000116593
0.016,149.5,626.9283,4.1935,0.000125386
0.0162,149.5,627.003,4.194,0.000125401
0.0164,134.5,564.0258,4.1935,0.000112805
0.0166,133.5,559.899,4.194,0.00011198
0.0168,144,603.864,4.1935,0.000120773
0.017,139.5,585.063,4.194,0.000117013
0.0172,119.5,501.183,4.194,0.000100237
0.0174,107,448.7045,4.1935,8.97409E-05
0.0176,125.5,526.2842,4.1935,0.000105257
0.0178,123.5,517.8973,4.1935,0.000103579
0.018,115.5,484.5225,4.195,9.69045E-05
0.0182,104,436.124,4.1935,8.72248E-05
0.0184,124.5,522.0908,4.1935,0.000104418
0.0186,124,520.056,4.194,0.000104011
0.0188,118,494.833,4.1935,9.89666E-05
0.019,103,431.8275,4.1925,8.63655E-05
0.0192,124,520.056,4.194,0.000104011
0.0194,124.5,522.0908,4.1935,0.000104418
0.0196,121,507.474,4.194,0.000101495
0.0198,103,431.9305,4.1935,8.63861E-05
0.02,122.5,513.765,4.194,0.000102753
0.0202,124,519.994,4.1935,0.000103999
0.0204,122,511.668,4.194,0.000102334
0.0206,102,427.635,4.1925,8.5527E-05
0.0208,120.5,505.377,4.194,0.000101075
0.021,124.5,522.0908,4.1935,0.000104418
0.0212,125.5,526.3469,4.194,0.000105269
0.0214,103,431.9305,4.1935,8.63861E-05
0.0216,118.5,496.9297,4.1935,9.93859E-05
0.0218,124.5,522.153,4.194,0.000104431
0.022,122.5,513.765,4.194,0.000102753
0.0222,106,444.564,4.194,8.89128E-05
0.0224,111.5,467.631,4.194,9.35262E-05
0.0226,122,511.668,4.194,0.000102334
0.0228,121,507.4135,4.1935,0.000101483
0.023,111,465.534,4.194,9.31068E-05
0.0232,99,415.1565,4.1935,8.30313E-05
0.0234,103.5,434.0273,4.1935,8.68054E-05
0.0236,102.5,429.885,4.194,8.5977E-05
0.0238,103,431.9305,4.1935,8.63861E-05
0.024,120.5,505.3167,4.1935,0.000101063
0.0242,148,620.638,4.1935,0.000124128
0.0244,148,620.712,4.194,0.000124142
0.0246,143.5,601.839,4.194,0.000120368
0.0248,123,515.6775,4.1925,0.000103136
0.025,148,620.638,4.1935,0.000124128
0.0252,152,637.412,4.1935,0.000127482
0.0254,148.5,622.9575,4.195,0.000124592
0.0256,128,536.64,4.1925,0.000107328
0.0258,155.5,652.167,4.194,0.000130433
0.026,157,658.4579,4.194,0.000131692
0.0262,150.5,631.197,4.194,0.000126239
0.0264,130.5,547.2518,4.1935,0.00010945
0.0266,142.5,597.645,4.194,0.000119529
0.0268,150,629.025,4.1935,0.000125805
0.027,156,654.186,4.1935,0.000130837
0.0272,136.5,572.4128,4.1935,0.000114483
0.0274,143.5,601.7673,4.1935,0.000120353
0.0276,153.5,643.7023,4.1935,0.00012874
0.0278,153,641.835,4.195,0.000128367
0.028,138.5,580.869,4.194,0.000116174
0.0282,140,587.09,4.1935,0.000117418
0.0284,152,637.412,4.1935,0.000127482
0.0286,138.5,580.7997,4.1935,0.00011616
0.0288,113.5,476.019,4.194,9.52038E-05
0.029,108.5,455.049,4.194,9.10098E-05
0.0292,124,520.056,4.194,0.000104011
0.0294,125.5,526.3469,4.194,0.000105269
0.0296,115,482.31,4.194,9.6462E-05
0.0298,105,440.37,4.194,8.8074E-05
0.03,124,520.056,4.194,0.000104011
0.0302,124,519.994,4.1935,0.000103999
0.0304,118,495.01,4.195,9.9002E-05
0.0306,104,436.02,4.1925,8.7204E-05
0.0308,124,519.994,4.1935,0.000103999
0.031,124,519.994,4.1935,0.000103999
0.0312,120.5,505.4975,4.195,0.000101099
0.0314,102,427.635,4.1925,8.5527E-05
0.0316,125,524.25,4.194,0.00010485
0.0318,124.5,522.153,4.194,0.000104431
0.032,122,511.668,4.194,0.000102334
0.0322,103,431.9305,4.1935,8.63861E-05
0.0324,120.5,505.3167,4.1935,0.000101063
0.0326,124.5,522.0908,4.1935,0.000104418
0.0328,123,515.985,4.195,0.000103197
0.033,104,436.124,4.1935,8.72248E-05
0.0332,118,494.892,4.194,9.89784E-05
0.0334,125,524.1875,4.1935,0.000104837
0.0336,124,520.18,4.195,0.000104036
0.0338,106,444.511,4.1935,8.89022E-05
0.034,115,482.31,4.194,9.6462E-05
0.0342,124.5,522.153,4.194,0.000104431
0.0344,124.5,522.2775,4.195,0.000104455
0.0346,108.5,454.9948,4.1935,9.09989E-05
0.0348,111.5,467.5753,4.1935,9.35151E-05
0.035,124,520.056,4.194,0.000104011
