Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),
0,124.5,522.153,4.194,0.000104431
0.0002,113,473.922,4.194,9.47844E-05
0.0004,110.5,463.3817,4.1935,9.26764E-05
0.0006,125.5,526.2842,4.1935,0.000105257
0.0008,125.5,526.3469,4.194,0.000105269
0.001,115.5,484.3492,4.1935,9.68698E-05
0.0012,106.5,446.5013,4.1925,8.93003E-05
0.0014,126.5,530.4777,4.1935,0.000106096
0.0016,125,524.1875,4.1935,0.000104838
0.0018,118,494.833,4.1935,9.89666E-05
0.002,105.5,442.4142,4.1935,8.84829E-05
0.0022,125.5,526.2842,4.1935,0.000105257
0.0024,124.5,522.0908,4.1935,0.000104418
0.0026,121.5,509.571,4.194,0.000101914
0.0028,103,431.8275,4.1925,8.63655E-05
0.003,124.5,522.0908,4.1935,0.000104418
0.0032,128.5,538.8647,4.1935,0.000107773
0.0034,120.5,505.4975,4.195,0.0001011
0.0036,103.5,434.0273,4.1935,8.68055E-05
0.0038,123.5,517.8973,4.1935,0.000103579
0.004,126,528.381,4.1935,0.000105676
0.0042,123.5,517.959,4.194,0.000103592
0.0044,103.5,434.0273,4.1935,8.68054E-05
0.0046,117,490.6395,4.1935,9.81279E-05
0.0048,123,515.862,4.194,0.000103172
0.005,122,511.607,4.1935,0.000102321
0.0052,108,452.952,4.194,9.05904E-05
0.0054,101,423.5435,4.1935,8.47087E-05
0.0056,103.5,434.0273,4.1935,8.68054E-05
0.0058,105,440.37,4.194,8.8074E-05
0.006,104,436.124,4.1935,8.72248E-05
0.0062,127.5,534.6713,4.1935,0.000106934
0.0064,151,633.2939,4.194,0.000126659
0.0066,149,624.8315,4.1935,0.000124966
0.0068,140,587.09,4.1935,0.000117418
0.007,127.5,534.6713,4.1935,0.000106934
0.0072,151,633.2185,4.1935,0.000126644
0.0074,151,633.2185,4.1935,0.000126644
0.0076,146.5,614.421,4.194,0.000122884
0.0078,131,549.2175,4.1925,0.000109844
0.008,158.5,664.6697,4.1935,0.000132934
0.0082,158,662.573,4.1935,0.000132515
0.0084,148.5,622.7347,4.1935,0.000124547
0.0086,129.5,543.0582,4.1935,0.000108612
0.0088,147.5,618.5413,4.1935,0.000123708
0.009,151,633.2185,4.1935,0.000126644
0.0092,157,658.4579,4.194,0.000131692
0.0094,134,561.929,4.1935,0.000112386
0.0096,149,624.8315,4.1935,0.000124966
0.0098,154.5,647.8958,4.1935,0.000129579
0.01,154,645.876,4.194,0.000129175
0.0102,135,565.9875,4.1925,0.000113197
0.0104,146.5,614.421,4.194,0.000122884
0.0106,153,641.6055,4.1935,0.000128321
0.0108,153.5,643.9326,4.195,0.000128786
0.011,136.5,572.481,4.194,0.000114496
0.0112,127,532.5745,4.1935,0.000106515
0.0114,126,528.381,4.1935,0.000105676
0.0116,125,524.1875,4.1935,0.000104838
0.0118,113,473.8655,4.1935,9.47731E-05
0.012,110.5,463.3817,4.1935,9.26764E-05
0.0122,125,524.1875,4.1935,0.000104837
0.0124,125.5,526.2842,4.1935,0.000105257
0.0126,116,486.446,4.1935,9.72892E-05
0.0128,107,448.758,4.194,8.97516E-05
0.013,125.5,526.3469,4.194,0.000105269
0.0132,126.5,530.4777,4.1935,0.000106096
0.0134,118,494.833,4.1935,9.89666E-05
0.0136,105,440.3175,4.1935,8.80635E-05
0.0138,129,540.9615,4.1935,0.000108192
0.014,125.5,526.2842,4.1935,0.000105257
0.0142,121.5,509.571,4.194,0.000101914
0.0144,104,436.124,4.1935,8.72248E-05
0.0146,124,519.994,4.1935,0.000103999
0.0148,125.5,526.3469,4.194,0.000105269
0.015,122.5,513.765,4.194,0.000102753
0.0152,102.5,429.8337,4.1935,8.59668E-05
0.0154,123.5,517.959,4.194,0.000103592
0.0156,125,524.1875,4.1935,0.000104838
0.0158,124,520.18,4.195,0.000104036
0.016,104,436.124,4.1935,8.72248E-05
0.0162,120,503.22,4.1935,0.000100644
0.0164,125.5,526.2842,4.1935,0.000105257
0.0166,125,524.375,4.195,0.000104875
0.0168,106.5,446.6078,4.1935,8.93216E-05
0.017,118,494.892,4.194,9.89784E-05
0.0172,125,524.1875,4.1935,0.000104837
0.0174,125,524.1875,4.1935,0.000104838
0.0176,109,457.146,4.194,9.14292E-05
0.0178,113.5,475.9622,4.1935,9.51924E-05
0.018,125.5,526.2842,4.1935,0.000105257
0.0182,125.5,526.2842,4.1935,0.000105257
0.0184,111.5,467.631,4.194,9.35262E-05
0.0186,112,469.672,4.1935,9.39344E-05
0.0188,126,528.381,4.1935,0.000105676
0.019,124.5,522.153,4.194,0.000104431
0.0192,114.5,480.213,4.194,9.60426E-05
0.0194,108,452.79,4.1925,9.0558E-05
0.0196,125,524.1875,4.1935,0.000104838
0.0198,126,528.444,4.194,0.000105689
0.02,118,494.892,4.194,9.89784E-05
0.0202,106,444.511,4.1935,8.89022E-05
0.0204,127.5,534.735,4.194,0.000106947
0.0206,125,524.1875,4.1935,0.000104837
0.0208,117.5,492.795,4.194,9.8559E-05
0.021,103.5,434.0273,4.1935,8.68054E-05
0.0212,123.5,517.8973,4.1935,0.000103579
0.0214,120,503.22,4.1935,0.000100644
0.0216,121.5,509.6925,4.195,0.000101938
0.0218,102.5,429.885,4.194,8.5977E-05
0.022,102.5,429.8337,4.1935,8.59668E-05
0.0222,105,440.3175,4.1935,8.80635E-05
0.0224,104,436.124,4.1935,8.72248E-05
0.0226,104.5,438.1163,4.1925,8.76233E-05
