Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),
0,222,931.0679,4.194,0.000186214
0.0002,221,926.7635,4.1935,0.000185353
0.0004,226,947.731,4.1935,0.000189546
0.0006,225.5,945.6343,4.1935,0.000189127
0.0008,247.5,1037.8912,4.1935,0.000207578
0.001,240.5,1008.5367,4.1935,0.000201707
0.0012,238.5,1000.1498,4.1935,0.00020003
0.0014,236,989.7839,4.194,0.000197957
0.0016,226.5,950.1675,4.195,0.000190034
0.0018,209.5,878.5383,4.1935,0.000175708
0.002,197.5,828.2162,4.1935,0.000165643
0.0022,191,800.7675,4.1925,0.000160154
0.0024,233,977.0855,4.1935,0.000195417
0.0026,249.5,1046.2783,4.1935,0.000209256
0.0028,234.5,983.3757,4.1935,0.000196675
0.003,223,935.1505,4.1935,0.00018703
0.0032,241,1010.6335,4.1935,0.000202127
0.0034,245,1027.5299,4.194,0.000205506
0.0036,255.5,1071.4392,4.1935,0.000214288
0.0038,239.5,1004.463,4.194,0.000200893
0.004,233,977.0855,4.1935,0.000195417
0.0042,245.5,1029.5043,4.1935,0.000205901
0.0044,248,1039.988,4.1935,0.000207998
0.0046,253,1060.9554,4.1935,0.000212191
0.0048,250.5,1050.2213,4.1925,0.000210044
0.005,263,1103.285,4.195,0.000220657
0.0052,251,1052.5685,4.1935,0.000210514
0.0054,242.5,1016.9238,4.1935,0.000203385
0.0056,227.5,954.0212,4.1935,0.000190804
0.0058,242.5,1016.9238,4.1935,0.000203385
0.006,244,1023.214,4.1935,0.000204643
0.0062,253.5,1063.179,4.194,0.000212636
0.0064,239,1002.0075,4.1925,0.000200402
0.0066,263,1102.8905,4.1935,0.000220578
0.0068,260,1090.3101,4.1935,0.000218062
0.007,242,1014.9479,4.194,0.00020299
0.0072,215.5,903.6993,4.1935,0.00018074
0.0074,235,985.4725,4.1935,0.000197095
0.0076,233,977.202,4.194,0.00019544
0.0078,236,989.7839,4.194,0.000197957
0.008,211.5,886.9252,4.1935,0.000177385
0.0082,225.5,945.6343,4.1935,0.000189127
0.0084,224,939.4559,4.194,0.000187891
0.0086,231,968.814,4.194,0.000193763
0.0088,217,909.9895,4.1935,0.000181998
0.009,233,977.0855,4.1935,0.000195417
0.0092,240.5,1008.5367,4.1935,0.000201707
0.0094,231,968.6985,4.1935,0.00019374
0.0096,221,926.7635,4.1935,0.000185353
0.0098,226,947.731,4.1935,0.000189546
0.01,255.5,1071.4392,4.1935,0.000214288
0.0102,260.5,1092.4067,4.1935,0.000218481
0.0104,250.5,1050.4718,4.1935,0.000210094
0.0106,266.5,1117.5677,4.1935,0.000223514
0.0108,271,1136.4385,4.1935,0.000227288
0.011,266.5,1117.5677,4.1935,0.000223514
0.0112,253,1060.9554,4.1935,0.000212191
0.0114,248,1039.988,4.1935,0.000207998
0.0116,274.5,1151.1157,4.1935,0.000230223
0.0118,272.5,1142.7288,4.1935,0.000228546
0.012,262,1098.8279,4.194,0.000219766
0.0122,254,1065.149,4.1935,0.00021303
0.0124,266,1115.4711,4.1935,0.000223094
0.0126,264,1107.084,4.1935,0.000221417
0.0128,257.5,1079.955,4.194,0.000215991
0.013,238.5,999.9113,4.1925,0.000199982
0.0132,271,1136.574,4.194,0.000227315
0.0134,271,1136.4385,4.1935,0.000227288
0.0136,269.5,1130.1483,4.1935,0.00022603
0.0138,249,1044.1815,4.1935,0.000208836
0.014,269.5,1130.1483,4.1935,0.00022603
0.0142,268,1123.858,4.1935,0.000224772
0.0144,270.5,1134.4769,4.194,0.000226895
0.0146,252.5,1058.6063,4.1925,0.000211721
0.0148,265,1111.0126,4.1925,0.000222202
0.015,273,1144.5525,4.1925,0.000228911
0.0152,283.5,1188.9989,4.194,0.0002378
0.0154,258,1081.923,4.1935,0.000216385
0.0156,253,1060.9554,4.1935,0.000212191
0.0158,256.5,1075.6328,4.1935,0.000215127
0.016,246.5,1033.6978,4.1935,0.00020674
0.0162,259.5,1088.2133,4.1935,0.000217643
0.0164,277,1161.5995,4.1935,0.00023232
0.0166,291.5,1222.4053,4.1935,0.000244481
0.0168,287.5,1205.6312,4.1935,0.000241126
0.017,240,1006.44,4.1935,0.000201288
0.0172,232.5,974.9888,4.1935,0.000194998
0.0174,243,1019.0205,4.1935,0.000203804
0.0176,252,1056.762,4.1935,0.000211352
0.0178,250.5,1050.4718,4.1935,0.000210094
0.018,239.5,1004.463,4.194,0.000200893
0.0182,226.5,949.9409,4.194,0.000189988
0.0184,208,872.248,4.1935,0.00017445
0.0186,194,813.539,4.1935,0.000162708
0.0188,204,855.474,4.1935,0.000171095
0.019,241,1010.6335,4.1935,0.000202127
0.0192,244.5,1025.3108,4.1935,0.000205062
0.0194,251.5,1054.791,4.194,0.000210958
0.0196,224,939.12,4.1925,0.000187824
0.0198,217,909.9895,4.1935,0.000181998
0.02,219.5,920.4733,4.1935,0.000184095
