Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),
0,123,515.862,4.194,0.000103172
0.0002,102.5,429.8337,4.1935,8.59668E-05
0.0004,125.5,526.3469,4.194,0.000105269
0.0006,146.5,614.3478,4.1935,0.00012287
0.0008,147,616.665,4.195,0.000123333
0.001,126,528.381,4.1935,0.000105676
0.0012,139,582.8965,4.1935,0.000116579
0.0014,146,612.251,4.1935,0.00012245
0.0016,146,612.251,4.1935,0.00012245
0.0018,129,540.9615,4.1935,0.000108192
0.002,136,570.316,4.1935,0.000114063
0.0022,149.5,626.9283,4.1935,0.000125386
0.0024,149.5,626.9283,4.1935,0.000125386
0.0026,139,582.9659,4.194,0.000116593
0.0028,143.5,601.839,4.194,0.000120368
0.003,157.5,660.555,4.194,0.000132111
0.0032,153.5,643.7023,4.1935,0.00012874
0.0034,136.5,572.481,4.194,0.000114496
0.0036,134,561.929,4.1935,0.000112386
0.0038,151,633.2185,4.1935,0.000126644
0.004,152.5,639.585,4.194,0.000127917
0.0042,143.5,601.7673,4.1935,0.000120353
0.0044,135.5,568.2192,4.1935,0.000113644
0.0046,152,637.488,4.194,0.000127498
0.0048,153,641.6055,4.1935,0.000128321
0.005,147,616.5179,4.194,0.000123304
0.0052,133,557.7355,4.1935,0.000111547
0.0054,150,629.1,4.194,0.00012582
0.0056,133.5,559.899,4.194,0.00011198
0.0058,121,507.595,4.195,0.000101519
0.006,102,427.737,4.1935,8.55474E-05
0.0062,122.5,513.765,4.194,0.000102753
0.0064,125,524.1875,4.1935,0.000104838
0.0066,122.5,513.8875,4.195,0.000102778
0.0068,102,427.635,4.1925,8.5527E-05
0.007,122.5,513.765,4.194,0.000102753
0.0072,123.5,517.8973,4.1935,0.000103579
0.0074,122,511.79,4.195,0.000102358
0.0076,104.5,438.2208,4.1935,8.76441E-05
0.0078,114,478.059,4.1935,9.56118E-05
0.008,122,511.607,4.1935,0.000102321
0.0082,121.5,509.5103,4.1935,0.000101902
0.0084,109,457.146,4.194,9.14292E-05
0.0086,96,402.72,4.195,8.0544E-05
0.0088,82.5,346.005,4.194,6.9201E-05
0.009,80.5,337.617,4.194,6.75234E-05
0.0092,81,339.714,4.194,6.79428E-05
0.0094,102.5,429.8337,4.1935,8.59667E-05
0.0096,127,532.5745,4.1935,0.000106515
0.0098,126.5,530.541,4.194,0.000106108
0.01,118,494.892,4.194,9.89784E-05
0.0102,103.5,434.079,4.194,8.68158E-05
0.0104,123,515.8005,4.1935,0.00010316
0.0106,125.5,526.2842,4.1935,0.000105257
0.0108,126,528.57,4.195,0.000105714
0.011,102,427.737,4.1935,8.55474E-05
0.0112,125,524.1875,4.1935,0.000104838
0.0114,125,524.1875,4.1935,0.000104837
0.0116,123,515.862,4.194,0.000103172
0.0118,102.5,429.7313,4.1925,8.59463E-05
0.012,120.5,505.3167,4.1935,0.000101063
0.0122,124,520.056,4.194,0.000104011
0.0124,126.5,530.6675,4.195,0.000106134
0.0126,105,440.3175,4.1935,8.80635E-05
0.0128,118,494.715,4.1925,9.8943E-05
0.013,124.5,522.153,4.194,0.000104431
0.0132,124,520.18,4.195,0.000104036
0.0134,106.5,446.661,4.194,8.93322E-05
0.0136,114.5,480.1558,4.1935,9.60312E-05
0.0138,124,520.056,4.194,0.000104011
0.014,124.5,522.153,4.194,0.000104431
0.0142,108.5,455.049,4.194,9.10098E-05
0.0144,111,465.534,4.194,9.31068E-05
0.0146,125,524.1875,4.1935,0.000104838
0.0148,123.5,517.959,4.194,0.000103592
