Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),
0,132,553.542,4.1935,0.000110708
0.0002,150,629.025,4.1935,0.000125805
0.0004,154.5,647.8958,4.1935,0.000129579
0.0006,154,646.03,4.195,0.000129206
0.0008,135,566.1225,4.1935,0.000113225
0.001,148.5,622.809,4.194,0.000124562
0.0012,155,649.9925,4.1935,0.000129999
0.0014,153,641.6819,4.194,0.000128336
0.0016,136,570.384,4.194,0.000114077
0.0018,152,637.412,4.1935,0.000127482
0.002,185,775.7975,4.1935,0.00015516
0.0022,185,775.7975,4.1935,0.00015516
0.0024,178,746.71,4.195,0.000149342
0.0026,170,712.895,4.1935,0.000142579
0.0028,171.5,719.1852,4.1935,0.000143837
0.003,171.5,719.2709,4.194,0.000143854
0.0032,173.5,727.6589,4.194,0.000145532
0.0034,183,767.4105,4.1935,0.000153482
0.0036,214.5,899.5057,4.1935,0.000179901
0.0038,219,918.3765,4.1935,0.000183675
0.004,191.5,803.0552,4.1935,0.000160611
0.0042,154.5,647.8958,4.1935,0.000129579
0.0044,175.5,735.9592,4.1935,0.000147192
0.0046,178.5,748.5397,4.1935,0.000149708
0.0048,173.5,727.6589,4.194,0.000145532
0.005,153.5,643.5488,4.1925,0.00012871
0.0052,180.5,757.017,4.194,0.000151403
0.0054,182.5,765.5875,4.195,0.000153118
0.0056,175,734.125,4.195,0.000146825
0.0058,156,654.186,4.1935,0.000130837
0.006,168,704.508,4.1935,0.000140902
0.0062,175,733.8625,4.1935,0.000146773
0.0064,180.5,757.017,4.194,0.000151403
0.0066,161,675.2339,4.194,0.000135047
0.0068,167.5,702.4949,4.194,0.000140499
0.007,178,746.443,4.1935,0.000149289
0.0072,178.5,748.8076,4.195,0.000149762
0.0074,163.5,685.6373,4.1935,0.000137127
0.0076,165.5,694.0242,4.1935,0.000138805
0.0078,177.5,744.3463,4.1935,0.000148869
0.008,176.5,740.1528,4.1935,0.000148031
0.0082,165.5,694.2725,4.195,0.000138854
0.0084,148,620.638,4.1935,0.000124128
0.0086,150,629.025,4.1935,0.000125805
0.0088,149.5,627.003,4.194,0.000125401
0.009,140.5,589.1868,4.1935,0.000117837
0.0092,130.5,547.1213,4.1925,0.000109424
0.0094,149.5,626.9283,4.1935,0.000125386
0.0096,148.5,622.9575,4.195,0.000124592
0.0098,143,599.6705,4.1935,0.000119934
0.01,129,540.9615,4.1935,0.000108192
0.0102,148,620.638,4.1935,0.000124128
0.0104,149,624.8315,4.1935,0.000124966
0.0106,145.5,610.1542,4.1935,0.000122031
0.0108,127.5,534.6713,4.1935,0.000106934
0.011,149.5,626.9283,4.1935,0.000125386
0.0112,149.5,626.9283,4.1935,0.000125386
0.0114,147.5,618.7625,4.195,0.000123752
0.0116,127,532.5745,4.1935,0.000106515
0.0118,146,612.251,4.1935,0.00012245
0.012,149.5,626.9283,4.1935,0.000125386
0.0122,148.5,622.9575,4.195,0.000124591
0.0124,129.5,543.0582,4.1935,0.000108612
0.0126,142,595.477,4.1935,0.000119095
0.0128,148.5,622.7347,4.1935,0.000124547
0.013,149,624.8315,4.1935,0.000124966
0.0132,130.5,547.2518,4.1935,0.00010945
